序号,位置x,位置y,类型type,防御力defense,重要性significance,图显类型type
1,-388,1090,2,3,2,5
2,-479,999,2,4,2,2
3,156,6,2,3,2,5
4,724,665,2,3,2,4
5,982,-594,2,4,2,3
6,885,-386,2,3,2,2
7,1138,-1322,2,1,2,4
8,-1871,1048,2,2,2,3
9,-943,735,2,4,2,1
10,-405,-1017,2,2,2,4
11,640,-1411,2,4,2,2
12,1453,1077,2,4,2,1
13,-1413,93,2,2,2,4
14,-1942,149,2,3,2,2
15,491,-1114,2,4,2,4
16,-1794,-1253,2,1,2,2
17,1167,-262,2,2,2,2
18,-1575,-1288,2,3,2,1
19,-647,239,2,2,2,5
20,330,1120,2,2,2,2
21,-687,658,2,1,2,1
22,523,1349,2,4,2,3
23,-330,-108,2,1,2,2
24,297,-853,2,3,2,2
25,-1945,-1188,2,4,2,4
26,-1743,-712,2,3,2,2
27,-1957,-822,2,2,2,3
28,1959,-707,2,1,2,2
29,1655,-992,2,1,2,1
30,1135,-282,2,4,2,1
31,-1368,-1439,2,4,2,2
32,-1494,-625,2,4,2,5
33,37,-400,2,1,2,2
34,445,-217,2,1,2,4
35,483,-925,2,3,2,2
36,812,93,2,4,2,1
37,1050,746,2,1,2,1
38,-657,74,2,4,2,1
39,365,176,2,1,2,3
40,73,-189,2,1,2,1
41,-695,1146,1,4,1,1
42,1916,928,1,4,1,1
43,18,-1191,1,3,1,1
44,1021,637,1,4,1,1
45,-838,1378,1,2,1,1
46,-676,367,1,3,1,1
47,-684,-198,1,2,1,1
48,1524,-1454,1,4,1,1
49,1160,279,1,2,1,1
50,1934,-1021,1,3,1,1
51,695,1276,1,1,1,1
52,670,804,1,2,1,1
53,945,719,1,1,1,1
54,-1124,-326,1,2,1,1
55,1023,777,1,3,1,1
56,258,-1320,1,3,1,1
57,132,-735,1,4,1,3
58,-1767,-1187,1,3,1,3
59,-1410,1269,1,4,1,1
60,1418,1030,1,2,1,1
61,-659,535,1,3,1,1
62,-998,839,1,4,1,1
63,-1958,454,1,2,1,1
64,1438,-140,1,3,1,1
65,1225,311,1,4,1,1
66,1052,40,1,2,1,1
67,543,-493,1,3,1,1
68,351,-524,1,3,1,2
69,-947,-646,1,4,1,1
70,-1716,-1254,1,2,1,1
71,-792,1294,1,4,1,1
72,-159,1265,1,4,1,1
73,49,-1443,1,4,1,1
74,1465,-1328,1,4,1,1
75,-1044,-526,1,1,1,1
76,220,1091,1,3,1,1
77,1535,-1411,1,2,1,1
78,1375,-1125,1,2,1,1
79,-743,783,1,2,1,1
80,-676,868,1,2,1,1
81,-1890,-1486,1,1,1,1
82,975,825,1,2,1,1
83,-1793,63,1,2,1,1
84,1693,590,1,1,1,1
85,1760,715,1,4,1,1
86,-123,-1341,1,3,1,1
87,-457,850,1,4,1,1
88,641,1080,1,4,1,1
89,-390,-130,1,2,1,4
90,829,1168,1,1,1,1
91,-970,-1329,1,3,1,1
92,-1402,327,1,2,1,1
93,-1637,-609,1,4,1,1
94,-352,252,1,1,1,1
95,-1978,551,1,2,1,1
96,1666,-1445,1,3,1,1
97,1331,-324,1,3,1,1
98,-1311,1367,1,2,1,1
99,1886,1125,1,1,1,1
100,1011,-1489,1,4,1,1
101,-688,-21,1,3,1,1
102,1473,562,1,2,1,1
103,947,-525,1,1,1,4
104,-308,-481,1,3,1,3
105,-1234,1485,1,3,1,1
106,330,-62,1,4,1,2
107,-24,647,1,4,1,1
108,1957,-1324,1,1,1,1
109,-768,707,1,4,1,1
110,-1097,1015,1,1,1,2
111,1392,391,1,4,1,1
112,-354,1021,1,3,1,1
113,-1443,1259,1,2,1,1
114,-1544,1230,1,4,1,1
115,1785,-610,1,4,1,1
116,916,951,1,1,1,1
117,185,53,1,2,1,1
118,-902,-1299,1,4,1,1
119,167,-1169,1,2,1,2
120,982,-1139,1,3,1,1
121,-317,892,1,2,1,1
122,-186,1001,1,2,1,1
