序号,x,y,无人机类型（1导引、2通信、3攻击）,工作距离,攻击能力
1,9,-140000,1,300,1
2,3,-140000,1,350,1
3,8,-140000,1,400,1
4,10,-140000,2,250,2
5,5,-140000,2,300,2
6,4,-140000,2,350,2
7,4,-140000,2,350,2
8,4,-140000,2,350,2
9,4,-140000,2,350,2
10,4,-140000,2,350,2
11,4,-140000,2,350,2
12,0,-140000,3,200,6
13,1,-140000,3,500,6
14,6,-140000,3,400,6
15,8,-140000,3,300,6
16,2,-140000,3,450,6
17,7,-140000,3,500,6
18,7,-140000,3,500,6
19,7,-140000,3,500,6
20,7,-140000,3,500,6
21,7,-140000,3,500,6
22,7,-140000,3,500,6
23,7,-140000,3,500,6
24,7,-140000,3,500,6
25,7,-140000,3,500,6
26,7,-140000,3,500,6
27,7,-140000,3,500,6
28,7,-140000,3,500,6
29,7,-140000,3,500,6
30,7,-140000,3,500,6
31,7,-140000,3,500,6
32,7,-140000,3,500,6
33,7,-140000,3,500,6
34,7,-140000,3,500,6
35,7,-140000,3,500,6
36,7,-140000,3,500,6
37,7,-140000,3,500,6
38,7,-140000,3,500,6
39,7,-140000,3,500,6
40,7,-140000,3,500,6
41,7,-140000,3,500,6
