Episode,Value
1,[0.9289239]
2,[0.9420594]
3,[0.7611575]
4,[0.5899673]
5,[0.57848144]
6,[0.66617525]
7,[0.5533152]
8,[0.5761526]
9,[0.56190526]
10,[0.57703876]
11,[0.5555124]
12,[0.5511657]
13,[0.56342316]
14,[1.3819178]
15,[0.62678397]
16,[0.56478363]
17,[2.0251884]
18,[0.53442127]
19,[0.589341]
20,[0.5469987]
21,[0.5482882]
22,[0.57648927]
23,[0.55060256]
24,[0.5805822]
25,[0.5511188]
26,[1.9680991]
27,[0.5405086]
28,[0.54572654]
29,[0.56309]
30,[0.56104994]
31,[0.88464063]
32,[0.5644572]
33,[0.8584089]
34,[0.5807906]
35,[0.5596433]
36,[2.642264]
37,[0.5797821]
38,[0.5695901]
39,[1.0223696]
40,[0.5675001]
41,[0.5585535]
42,[0.54821134]
43,[0.556387]
44,[0.55220675]
45,[0.581129]
46,[0.55634665]
47,[0.54929006]
48,[0.5792117]
49,[0.79992133]
50,[0.5660586]
51,[0.54173297]
52,[0.55914605]
53,[0.8205626]
54,[0.541719]
55,[0.55234665]
56,[0.5633229]
57,[0.8347842]
58,[0.55624056]
59,[0.5923625]
60,[0.5715207]
61,[0.5555901]
62,[0.55121034]
63,[0.53250897]
64,[0.55577695]
65,[0.83810574]
66,[0.5600859]
67,[0.5727032]
68,[0.58091134]
69,[0.6228796]
70,[0.54996693]
71,[0.58395624]
72,[0.5381185]
73,[0.57394433]
74,[0.5571283]
75,[0.7097476]
76,[0.55593014]
77,[0.57116085]
78,[0.5993868]
79,[0.7240294]
80,[0.5654621]
81,[0.6949384]
82,[0.5681117]
83,[0.54611367]
84,[0.5571895]
85,[0.56145173]
86,[0.56118983]
87,[0.6611952]
88,[0.5773112]
89,[0.5560756]
90,[0.5583771]
91,[0.56344396]
92,[0.56187415]
93,[0.59743845]
94,[0.5635183]
95,[0.5683621]
96,[0.563887]
97,[0.559877]
98,[0.55010796]
99,[0.83684283]
100,[0.5372686]
101,[0.67128694]
102,[0.6525611]
103,[0.54475045]
104,[0.61364144]
105,[0.95913833]
106,[0.8137684]
107,[0.5764516]
108,[0.5700871]
109,[0.54291815]
110,[0.70389146]
111,[0.56551284]
112,[0.551286]
113,[0.8678485]
114,[0.5754564]
115,[0.53329986]
116,[0.55234545]
117,[0.89461833]
118,[0.5718632]
119,[0.5597917]
120,[0.56454504]
121,[0.58391654]
122,[0.5780736]
123,[0.5879537]
124,[0.55557644]
125,[0.5557381]
126,[0.55208653]
127,[0.57116514]
128,[1.037545]
129,[0.69100535]
130,[0.5389805]
131,[0.59330934]
132,[0.55755895]
133,[1.5732892]
134,[0.55189157]
135,[1.400823]
136,[1.6112161]
137,[0.56444323]
138,[0.56682557]
139,[0.5550321]
140,[0.6628692]
141,[0.5579815]
142,[0.5666544]
143,[0.6158244]
144,[0.82982785]
145,[0.56362367]
146,[0.56184787]
147,[0.54668945]
148,[1.0414424]
149,[0.5591371]
150,[0.5739909]
151,[0.608671]
152,[0.793804]
153,[0.56029737]
154,[0.55078036]
155,[0.5331618]
156,[0.58121663]
157,[0.5545647]
158,[0.55407834]
159,[0.55633783]
160,[0.556975]
161,[0.5427199]
162,[1.5715708]
163,[1.0621312]
164,[0.55308706]
165,[0.5452865]
166,[0.54874283]
167,[0.57307464]
168,[0.5417532]
169,[0.84572893]
170,[0.55020016]
171,[0.5754288]
172,[0.56239915]
173,[0.54957676]
174,[0.5881477]
175,[1.0733751]
176,[0.6823822]
177,[0.546563]
178,[0.5833253]
179,[0.56880194]
180,[0.5339617]
181,[0.9667779]
182,[0.5420485]
183,[0.5495273]
184,[0.54987586]
185,[0.5734551]
186,[2.0189993]
187,[0.56756085]
188,[0.54909784]
189,[0.5714306]
190,[0.5837646]
191,[0.80326825]
192,[0.56177294]
193,[0.5649695]
194,[0.56688565]
195,[0.5540835]
196,[2.2768154]
197,[0.5493413]
198,[0.78352064]
199,[0.572705]
200,[0.86429787]
201,[0.57367337]
202,[0.55307674]
203,[0.84170634]
204,[0.8957064]
205,[0.5753069]
206,[0.5651458]
207,[0.5517481]
208,[0.5489101]
209,[0.5453473]
210,[0.6110323]
211,[0.8546838]
212,[0.55203927]
213,[0.57133174]
214,[0.5330653]
215,[0.55284196]
216,[0.7241192]
217,[0.5358234]
218,[0.58295494]
219,[3.2218544]
220,[2.1346617]
221,[0.596901]
222,[0.5582851]
223,[0.95206296]
224,[0.8562974]
225,[0.9860779]
226,[0.56300795]
227,[0.5474206]
228,[0.5743522]
229,[0.5645782]
230,[0.5624963]
231,[0.55196583]
232,[0.5495189]
233,[1.0528836]
234,[0.5751008]
235,[0.5464238]
236,[0.57849777]
237,[0.5444362]
238,[0.5586616]
239,[0.6052824]
240,[0.5971209]
241,[0.5777787]
242,[0.54130316]
243,[0.5409007]
244,[0.55823666]
245,[0.54862666]
246,[0.58140004]
247,[0.5418755]
248,[0.5504249]
249,[1.2898688]
250,[0.5450612]
251,[0.5459677]
252,[0.5755365]
253,[0.6049853]
254,[0.56525576]
255,[0.9170479]
256,[0.9257704]
257,[0.58025587]
258,[0.56391436]
259,[0.6153267]
260,[0.7148114]
261,[0.7087663]
262,[0.5472865]
263,[0.58001524]
264,[0.5478911]
265,[0.64294124]
266,[0.53513503]
267,[0.59281355]
268,[0.800901]
269,[0.5640099]
270,[0.6094192]
271,[1.0880018]
272,[0.5640214]
273,[0.5501605]
274,[1.0837747]
275,[0.5645967]
276,[0.6389328]
277,[0.5448301]
278,[0.59315896]
279,[0.5789123]
280,[0.5432421]
281,[0.5580714]
282,[0.5656695]
283,[0.56680965]
284,[0.81362706]
285,[0.5490301]
286,[0.5609832]
287,[0.84353685]
288,[2.6197107]
289,[0.5699659]
290,[1.0884117]
291,[3.5561109]
292,[0.5561473]
293,[0.57402086]
294,[0.5398888]
295,[0.56665117]
296,[2.4423704]
297,[0.5450194]
298,[0.8922699]
299,[0.54811376]
300,[0.9816316]
301,[0.8867179]
302,[0.5550031]
303,[0.5618456]
304,[0.5482778]
305,[0.5683233]
306,[0.5545838]
307,[0.6964121]
308,[0.58393943]
309,[1.0215744]
310,[0.5326652]
311,[0.5664285]
312,[0.5614978]
313,[0.57417446]
314,[0.5584298]
315,[0.56366944]
316,[0.5596812]
317,[0.554719]
318,[0.56735265]
319,[1.1610689]
320,[0.905182]
321,[0.56912214]
322,[0.5435308]
323,[0.6764509]
324,[0.53014815]
325,[0.6825916]
326,[0.5355471]
327,[0.5969105]
328,[1.0131227]
329,[0.5619018]
330,[0.8420024]
331,[0.6280942]
332,[0.5509691]
333,[0.575252]
334,[0.55369776]
335,[0.5631333]
336,[0.964869]
337,[0.5700932]
338,[0.55983555]
339,[0.9313651]
340,[0.57053745]
341,[0.98179615]
342,[0.59852284]
343,[0.556885]
344,[0.567059]
345,[0.5603531]
346,[0.55317235]
347,[0.57132477]
348,[0.5749954]
349,[0.9539293]
350,[0.835941]
351,[0.63611764]
352,[1.4378096]
353,[0.55841863]
354,[0.60363656]
355,[0.7022284]
356,[0.57113945]
357,[0.54153246]
358,[0.57848436]
359,[0.56109804]
360,[0.5766715]
361,[0.55346906]
362,[0.55970275]
363,[1.5066518]
364,[0.5500268]
365,[0.86709833]
366,[0.56793606]
367,[0.5615913]
368,[0.57959574]
369,[0.55299544]
370,[0.702033]
371,[0.67748183]
372,[0.55641156]
373,[0.5701711]
374,[0.63532513]
375,[0.5721334]
376,[0.62410414]
377,[0.53888935]
378,[0.5472167]
379,[0.5683457]
380,[0.57967037]
381,[0.5430976]
382,[0.5435954]
383,[0.55305904]
384,[0.59122056]
385,[0.5845113]
386,[0.976969]
387,[0.5533487]
388,[0.54171705]
389,[0.566954]
390,[0.6099455]
391,[0.54465944]
392,[0.5550173]
393,[0.5616325]
394,[0.54692316]
395,[0.59261024]
396,[0.5949575]
397,[0.6367365]
398,[0.59519625]
399,[0.57606924]
400,[1.0218105]
401,[0.5537357]
402,[1.7814528]
403,[0.76156956]
404,[0.559147]
405,[0.54209715]
406,[0.5565425]
407,[0.5634336]
408,[0.6168481]
409,[0.7041879]
410,[1.2918348]
411,[0.5677047]
412,[0.56351984]
413,[0.6212142]
414,[0.5442725]
415,[0.554913]
416,[0.5743951]
417,[0.56739056]
418,[0.5466856]
419,[0.5427989]
420,[0.55567425]
421,[0.568295]
422,[0.5621328]
423,[0.58604777]
424,[0.5661086]
425,[1.6430861]
426,[0.60971004]
427,[0.5685419]
428,[1.97993]
429,[0.5542539]
430,[0.5508711]
431,[0.5668161]
432,[0.5390682]
433,[0.5619714]
434,[0.57108957]
435,[0.5620993]
436,[0.56377333]
437,[0.53721786]
438,[0.6812198]
439,[0.5663379]
440,[0.58854413]
441,[0.56906664]
442,[0.5425192]
443,[0.64798397]
444,[0.56100875]
445,[0.57287824]
446,[0.57357967]
447,[0.56561285]
448,[0.65524024]
449,[0.68214405]
450,[0.8088142]
451,[0.55727446]
452,[0.5610492]
453,[0.5418342]
454,[0.55815]
455,[1.6882685]
456,[0.5546083]
457,[0.90147865]
458,[1.4051752]
459,[0.54531693]
460,[0.5597788]
461,[0.9871972]
462,[0.5569348]
463,[0.55526316]
464,[0.5533373]
465,[0.5929352]
466,[0.56461495]
467,[0.73889774]
468,[0.5579473]
469,[0.5887231]
470,[0.59131396]
471,[0.58130133]
472,[1.6015655]
473,[0.5579275]
474,[0.6284556]
475,[1.4941393]
476,[0.5340967]
477,[0.55426395]
478,[0.8562033]
479,[0.56102043]
480,[0.62449664]
481,[0.5610136]
482,[0.5802047]
483,[0.5573847]
484,[0.7298491]
485,[0.7570338]
486,[0.93469214]
487,[0.569822]
488,[0.5590716]
489,[0.8652669]
490,[0.9586661]
491,[0.54561806]
492,[0.5581445]
493,[0.5696155]
494,[0.5601206]
495,[0.5750316]
496,[0.679445]
497,[0.65564436]
498,[0.54760695]
499,[0.57357705]
500,[0.5374156]
501,[0.5741012]
502,[0.57737195]
503,[0.5396341]
504,[0.56431097]
505,[0.5840039]
506,[0.5851358]
507,[0.6628585]
508,[0.582692]
509,[0.55461276]
510,[0.5373404]
511,[1.206131]
512,[0.5667119]
513,[0.56422347]
514,[0.81713974]
515,[0.63378733]
516,[0.5444483]
517,[0.57970047]
518,[0.5692714]
519,[0.54535425]
520,[1.3269134]
521,[0.56125575]
522,[0.5541071]
523,[0.5751192]
524,[0.58945984]
525,[0.55523705]
526,[0.5637355]
527,[0.53862137]
528,[2.4428709]
529,[1.1445916]
530,[1.0667853]
531,[1.2374302]
532,[0.53438026]
533,[0.5542797]
534,[0.8403971]
535,[0.5543155]
536,[0.5468875]
537,[0.548387]
538,[0.58984977]
539,[0.5890784]
540,[0.5655685]
541,[0.5650999]
542,[0.54084563]
543,[0.84597087]
544,[0.5579284]
545,[0.56279755]
546,[0.5405186]
547,[0.5481362]
548,[0.5721802]
549,[0.5553193]
550,[0.5414942]
551,[0.54044104]
552,[0.56103957]
553,[0.554167]
554,[0.543981]
555,[0.6239669]
556,[0.7021565]
557,[0.6203095]
558,[0.94775015]
559,[1.2260835]
560,[0.7628039]
561,[0.5606868]
562,[0.55727047]
563,[0.8069748]
564,[0.56951785]
565,[0.53955346]
566,[0.922114]
567,[0.54375446]
568,[0.9160247]
569,[0.7535616]
570,[0.9822357]
571,[0.82773274]
572,[0.5420393]
573,[0.57161415]
574,[0.55955684]
575,[0.5585277]
576,[0.54937655]
577,[0.53917426]
578,[0.56040716]
579,[0.6463014]
580,[0.55936676]
581,[1.1530502]
582,[0.54341316]
583,[0.56402993]
584,[0.5531512]
585,[0.8279942]
586,[0.6282218]
587,[0.5505813]
588,[0.54998976]
589,[0.5814552]
590,[0.9318772]
591,[0.577958]
592,[0.5552007]
593,[0.55496514]
594,[0.81225187]
595,[0.568489]
596,[1.7373393]
597,[0.6239565]
598,[0.5669324]
599,[0.67418516]
600,[0.5488173]
601,[0.54388344]
602,[0.5636896]
603,[0.59668237]
604,[0.54486537]
605,[0.56810236]
606,[0.54363966]
607,[0.5553822]
608,[1.5586854]
609,[2.0195942]
610,[0.5539098]
611,[0.6772872]
612,[0.5839481]
613,[0.5825385]
614,[0.5628631]
615,[0.5645972]
616,[0.5432142]
617,[0.714421]
618,[0.7802254]
