num,x,y,type,defense,significance
1.0,-388.0,1090.0,2.0,3.0,2.0
2.0,-479.0,999.0,2.0,4.0,2.0
3.0,156.0,6.0,2.0,3.0,2.0
4.0,724.0,665.0,2.0,3.0,2.0
5.0,982.0,-594.0,2.0,4.0,2.0
6.0,885.0,-386.0,2.0,3.0,2.0
7.0,1138.0,-1322.0,2.0,1.0,2.0
8.0,-1871.0,1048.0,2.0,2.0,2.0
9.0,-943.0,735.0,2.0,4.0,2.0
10.0,-405.0,-1017.0,2.0,2.0,2.0
11.0,740.0,-1411.0,2.0,4.0,2.0
12.0,1453.0,1077.0,2.0,4.0,2.0
13.0,-1413.0,93.0,2.0,2.0,2.0
14.0,-1942.0,149.0,2.0,3.0,2.0
15.0,491.0,-1114.0,2.0,4.0,2.0
16.0,-1794.0,-1253.0,2.0,1.0,2.0
17.0,1167.0,-262.0,2.0,2.0,2.0
18.0,-1575.0,-1288.0,2.0,3.0,2.0
19.0,-647.0,239.0,2.0,2.0,2.0
20.0,330.0,1120.0,2.0,2.0,2.0
21.0,-687.0,658.0,2.0,1.0,2.0
22.0,523.0,1349.0,2.0,4.0,2.0
23.0,-330.0,-108.0,2.0,1.0,2.0
24.0,297.0,-853.0,2.0,3.0,2.0
25.0,-1945.0,-1188.0,2.0,4.0,2.0
26.0,-1743.0,-712.0,2.0,3.0,2.0
27.0,-1957.0,-822.0,2.0,2.0,2.0
28.0,1959.0,-707.0,2.0,1.0,2.0
29.0,1655.0,-992.0,2.0,1.0,2.0
30.0,1135.0,-282.0,2.0,4.0,2.0
31.0,-1368.0,-1439.0,2.0,4.0,2.0
32.0,-1494.0,-625.0,2.0,4.0,2.0
33.0,37.0,-400.0,2.0,1.0,2.0
34.0,445.0,-217.0,2.0,1.0,2.0
35.0,483.0,-925.0,2.0,3.0,2.0
36.0,812.0,93.0,2.0,4.0,2.0
37.0,9.0,557.0,2.0,1.0,2.0
38.0,-657.0,74.0,2.0,4.0,2.0
39.0,365.0,176.0,2.0,1.0,2.0
40.0,73.0,-189.0,2.0,1.0,2.0
43.0,18.0,-1191.0,1.0,3.0,1.0
57.0,132.0,-735.0,1.0,4.0,1.0
67.0,543.0,-493.0,1.0,3.0,1.0
68.0,351.0,-524.0,1.0,3.0,1.0
89.0,-390.0,-130.0,1.0,2.0,1.0
104.0,-308.0,-481.0,1.0,3.0,1.0
106.0,330.0,-62.0,1.0,4.0,1.0
119.0,167.0,-1169.0,1.0,2.0,1.0
123.0,-689.0,-443.0,1.0,1.0,1.0
124.0,-251.0,-209.0,1.0,1.0,1.0
128.0,-361.0,-501.0,1.0,1.0,1.0
136.0,219.0,-86.0,1.0,1.0,1.0
138.0,275.0,-308.0,1.0,1.0,1.0
141.0,-342.0,-1028.0,1.0,4.0,1.0
147.0,60.0,-70.0,1.0,4.0,1.0
149.0,402.0,-697.0,1.0,2.0,1.0
151.0,370.0,-772.0,1.0,3.0,1.0
158.0,-631.0,-225.0,1.0,2.0,1.0
167.0,199.0,-1097.0,1.0,3.0,1.0
171.0,-671.0,-381.0,1.0,1.0,1.0
174.0,4.0,-9.0,1.0,3.0,1.0
196.0,86.0,-264.0,1.0,3.0,1.0
