training_rounds,std_deviation
0.000000000000000000e+00,2.229214379557372450e+00
1.000000000000000000e+00,5.243660589651197856e-01
2.000000000000000000e+00,8.708500706806877600e-01
3.000000000000000000e+00,4.093796041807581387e-01
4.000000000000000000e+00,3.798524019486030912e-01
5.000000000000000000e+00,1.145575554679110430e+00
6.000000000000000000e+00,1.835345714699695208e+00
7.000000000000000000e+00,4.245636062026406643e-01
8.000000000000000000e+00,6.086040561602119592e-01
9.000000000000000000e+00,1.810466977244425291e+00
1.000000000000000000e+01,2.494184580374950055e+00
1.100000000000000000e+01,2.278970174496458334e+00
1.200000000000000000e+01,7.458668148682883192e-01
1.300000000000000000e+01,8.717507394468895776e-02
1.400000000000000000e+01,1.667059755136940380e+00
1.500000000000000000e+01,1.594056596996243025e+00
1.600000000000000000e+01,1.454374228041620254e-01
1.700000000000000000e+01,1.661248606580828957e+00
1.800000000000000000e+01,2.577756957223920065e+00
1.900000000000000000e+01,2.491764870068882143e+00
2.000000000000000000e+01,1.700457640139620974e+00
2.100000000000000000e+01,2.029393990296952666e+00
2.200000000000000000e+01,4.250612130051726334e-01
2.300000000000000000e+01,1.009681223831414565e+00
2.400000000000000000e+01,1.436573304691137309e+00
2.500000000000000000e+01,4.264580687205497544e-01
2.600000000000000000e+01,5.682620706248655423e-02
2.700000000000000000e+01,7.852991539454758918e-01
2.800000000000000000e+01,1.571663032885041833e+00
2.900000000000000000e+01,1.024514262918044372e+00
3.000000000000000000e+01,8.230855813522163222e-01
3.100000000000000000e+01,5.209734690173214444e-01
3.200000000000000000e+01,6.781511400336892592e-02
3.300000000000000000e+01,2.147328967431452629e+00
3.400000000000000000e+01,6.717540222176811016e-01
3.500000000000000000e+01,1.889653680648827105e+00
3.600000000000000000e+01,2.421498963494941759e+00
3.700000000000000000e+01,6.437294695673947409e-01
3.800000000000000000e+01,5.199488077546620124e-01
3.900000000000000000e+01,3.562012106291818081e-01
4.000000000000000000e+01,1.291284407382166322e+00
4.100000000000000000e+01,9.063610960194592447e-01
4.200000000000000000e+01,2.563258317708450917e+00
4.300000000000000000e+01,2.339755810744133857e+00
4.400000000000000000e+01,1.987629931026689167e+00
4.500000000000000000e+01,7.861618487260588761e-01
4.600000000000000000e+01,1.553235582806717918e+00
4.700000000000000000e+01,1.960392294319303286e+00
4.800000000000000000e+01,1.429055742282917763e+00
4.900000000000000000e+01,1.065648547936442370e+00
5.000000000000000000e+01,1.485557396804649821e+00
5.100000000000000000e+01,2.600729589378804052e-01
5.200000000000000000e+01,1.223087350030233500e+00
5.300000000000000000e+01,1.666368659576196620e+00
5.400000000000000000e+01,1.753479369109399499e+00
5.500000000000000000e+01,2.286647119011511187e+00
5.600000000000000000e+01,1.908111126125655810e+00
5.700000000000000000e+01,2.001507885577218371e+00
5.800000000000000000e+01,9.729358439929999269e-01
5.900000000000000000e+01,2.331299754290333759e+00
6.000000000000000000e+01,5.065602795336939801e-01
6.100000000000000000e+01,3.615248133497588889e-01
6.200000000000000000e+01,2.009912706628632861e+00
6.300000000000000000e+01,2.564314012798696307e+00
6.400000000000000000e+01,3.679313981423815716e-01
6.500000000000000000e+01,6.730962933009336513e-02
6.600000000000000000e+01,1.353201124499971097e+00
6.700000000000000000e+01,2.073800089845965644e+00
6.800000000000000000e+01,5.804313295906533554e-01
6.900000000000000000e+01,1.038157077362789726e+00
7.000000000000000000e+01,2.463971459334261649e+00
7.100000000000000000e+01,1.722669459788228163e+00
7.200000000000000000e+01,8.739379567180145525e-01
7.300000000000000000e+01,2.156433912484983839e+00
7.400000000000000000e+01,1.822803175487821337e+00
7.500000000000000000e+01,3.857708897255643921e-01
7.600000000000000000e+01,1.818086254976365002e+00
7.700000000000000000e+01,1.422496609646622667e-01
7.800000000000000000e+01,2.213846951779894212e+00
7.900000000000000000e+01,2.428578290438773379e+00
8.000000000000000000e+01,1.579834072854977789e+00
8.100000000000000000e+01,1.773778169604933452e-01
8.200000000000000000e+01,2.527269981101816665e+00
8.300000000000000000e+01,2.975832160472360322e-01
8.400000000000000000e+01,9.247812721599719676e-01
8.500000000000000000e+01,1.349610544105803445e-01
8.600000000000000000e+01,4.144510137105568426e-02
8.700000000000000000e+01,6.066301140918977097e-01
8.800000000000000000e+01,1.467450248552663483e+00
8.900000000000000000e+01,1.178275600200471250e-02
9.000000000000000000e+01,3.649560949823036915e-01
9.100000000000000000e+01,1.041575373854382480e+00
9.200000000000000000e+01,2.238639414710663189e+00
9.300000000000000000e+01,1.331140816461809928e+00
9.400000000000000000e+01,1.351407452248395702e-01
9.500000000000000000e+01,2.254588128737912811e+00
9.600000000000000000e+01,2.099170408787959907e+00
9.700000000000000000e+01,1.114206215687890911e+00
9.800000000000000000e+01,2.197130678732210463e+00
9.900000000000000000e+01,7.554897805605393923e-01
1.000000000000000000e+02,1.975614443655862251e+00
1.010000000000000000e+02,6.777102191689241550e-01
1.020000000000000000e+02,2.352705001618288883e+00
1.030000000000000000e+02,4.902981190010989865e-01
1.040000000000000000e+02,1.744458031847810231e+00
1.050000000000000000e+02,7.897477197982040176e-01
1.060000000000000000e+02,9.546128664254749374e-01
1.070000000000000000e+02,1.666341612757171298e+00
1.080000000000000000e+02,2.418288298890359234e-01
1.090000000000000000e+02,1.689831633918226217e+00
1.100000000000000000e+02,1.532991372731807411e+00
1.110000000000000000e+02,5.978916587128293436e-01
1.120000000000000000e+02,1.212998059302809128e+00
1.130000000000000000e+02,5.415979146058299554e-01
1.140000000000000000e+02,7.267899091767552333e-01
1.150000000000000000e+02,2.128979522777945999e+00
1.160000000000000000e+02,8.834202811286857582e-01
1.170000000000000000e+02,9.199922954117268903e-01
1.180000000000000000e+02,3.310852860777873663e-01
1.190000000000000000e+02,1.539302675360541273e-01
1.200000000000000000e+02,1.122790583418274535e+00
