training_rounds,std_deviation
0,2.23
1,0.52
2,0.87
3,0.41
4,0.38
5,1.15
6,1.84
7,0.42
8,0.61
9,1.81
10,2.49
11,2.28
12,0.75
13,0.09
14,1.67
15,1.59
16,0.15
17,1.66
18,2.58
19,2.49
20,1.7
21,2.03
22,0.43
23,1.01
24,1.44
25,0.43
26,0.06
27,0.79
28,1.57
29,1.02
30,0.82
31,0.52
32,0.07
33,2.15
34,0.67
35,1.89
36,1.42
37,0.64
38,0.52
39,0.36
40,1.29
41,0.91
42,1.56
43,1.34
44,1.99
45,0.79
46,1.55
47,1.96
48,1.43
49,1.07
50,1.49
51,1.26
52,1.22
53,1.67
54,1.75
55,2.29
56,1.91
57,2
58,0.97
59,2.33
60,0.51
61,0.36
62,2.01
63,2.56
64,0.37
65,0.07
66,1.35
67,2.07
68,0.58
69,1.04
70,1.46
71,1.72
72,0.87
73,1.16
74,1.52
75,0.39
76,1.82
77,0.14
78,2.21
79,0.43
80,1.58
81,0.18
82,1.53
83,0.3
84,0.92
85,0.13
86,0.04
87,0.61
88,1.47
89,0.01
90,0.36
91,1.04
92,2.24
93,1.33
94,0.14
95,1.25
96,1.1
97,1.11
98,1.2
99,0.76
100,1.98
101,0.68
102,2.35
103,0.49
104,1.74
105,0.79
106,0.95
107,1.67
108,0.24
109,1.69
110,1.53
111,0.6
112,1.21
113,0.54
114,0.73
115,2.13
116,0.88
117,0.92
118,0.33
119,0.15
120,1.12
121,0.07
122,0.26
123,0.97
124,1.15
125,1.47
126,2.28
127,1.43
128,1.12
129,1.53
130,0.68
131,2
132,1.2
133,1.59
134,1.29
135,0.76
136,0.52
137,0.21
138,0.05
139,1.79
140,1.23
141,1.13
142,1.98
143,1.13
144,1.5
145,1.19
146,1.41
147,0.3
148,1.68
149,0.32
150,0.02
151,1.32
152,1.03
153,1.89
154,0.11
155,1.35
156,1.83
157,0.77
158,1.89
159,1.18
160,1.4
161,2.11
162,0.54
163,0.46
164,1.54
165,1.21
166,1.19
167,1.68
168,0.04
169,0.11
170,0.63
171,0.61
172,1.01
173,1.55
174,0.76
175,0.82
176,1.43
177,0.59
178,0.57
179,0.99
180,1.36
