Episode,Total Reward,Average Loss
0,-5075.631077,0
1,-2589.260739,0
2,-3522.448466,0
3,-4689.266674,0
4,-4496.60882,0
5,-7801.055363,18984.66386
6,-3394.427883,11020.32083
7,-4770.048242,17653.70326
8,-5053.632076,16333.71613
9,-6540.230772,10797.79825
10,-3890.070679,12651.11568
11,-4436.103304,14946.54665
12,-4762.964555,7073.16356
13,-2925.278884,3906.426379
14,-5147.825822,7965.316121
15,-3977.944239,5921.235118
16,-4316.614382,6029.652321
17,-5041.099911,5446.969226
18,-6690.747379,7442.223092
19,-4173.823268,5981.260093
20,-3518.088989,3444.26757
21,-3660.713591,1990.544727
22,-3985.917,3014.94194
23,-3441.613513,2937.208479
24,-4656.078368,2219.83347
25,-3554.822754,926.3287109
26,-2529.75717,777.6395524
27,-4412.255866,1742.258727
28,-2898.388501,936.7902845
29,-5115.006768,2347.348159
30,-5833.013063,3610.590005
31,-4937.934788,4551.647095
32,-5342.348809,4299.901547
33,-5477.049709,6900.24863
34,-5312.997908,6283.770494
35,-2775.424738,1347.511573
36,-2813.119136,1199.064262
37,-4485.925414,3983.781283
38,-3379.702066,1779.502389
39,-3261.672204,2797.863903
40,-6463.34892,3977.597863
41,-2131.802545,994.1568222
42,-4025.585056,2089.764196
43,-5311.007674,4436.934749
44,-5114.132246,3253.037303
45,-3914.745493,2152.946522
46,-4352.325609,2391.631539
47,-2759.820185,936.2861942
48,-2924.169233,1152.026717
49,-4222.190325,2104.161766
50,-5467.597016,2055.018477
51,-2813.119136,352.4463526
52,-2775.424738,748.4248379
53,-5761.324801,2149.568437
54,-2877.656252,538.9803489
55,-3288.076409,1790.089579
56,-2131.802545,542.8360823
57,-2502.33851,286.2767559
58,-4446.608023,1462.539464
59,-2131.802545,698.3566401
60,-3493.719714,1448.934206
61,-2641.260533,961.6007069
62,-3272.742916,1303.118203
63,-2800.374217,1608.506376
64,-4974.68392,2143.384052
65,-3874.847679,1375.746158
66,-2131.802545,699.2310486
67,-4130.328148,1429.573697
68,-2775.424738,434.3667618
69,-2775.424738,634.2964515
70,-2992.503294,1051.46692
71,-2813.119136,275.4835255
72,-2131.802545,904.7567373
73,-2131.802545,572.8997805
74,-3549.996127,1360.812033
75,-2131.802545,474.7825453
76,-2131.802545,577.8200374
77,-2131.802545,460.9786363
78,-2773.898181,915.972234
79,-3041.693431,669.304014
80,-2233.00365,385.2716923
81,-4221.436398,991.2664184
82,-3848.217567,371.1276292
83,-3474.038167,1104.06159
84,-4198.74631,1138.862021
85,-4740.412227,1428.101045
86,-3854.86647,823.5393711
87,-2326.289048,1134.170395
88,-2831.942531,420.5579053
89,-5210.987327,1242.148619
90,-2573.004768,345.7808447
91,-2131.802545,510.9051021
92,-2233.00365,269.9588795
93,-2812.173868,1479.13348
94,-4035.989545,1414.203966
95,-2131.802545,679.3164796
96,-2131.802545,679.993992
97,-2759.397203,1012.258319
98,-2326.289048,939.6892353
99,-2131.802545,263.0644006
100,-4719.549664,1013.179971
101,-3832.28166,540.1154305
102,-2529.75717,163.2880553
103,-3647.262198,247.7751309
104,-5020.791916,475.1709767
105,-2700.764103,407.6180018
106,-2777.088965,82.74930397
107,-5230.852064,779.1739597
108,-3670.274276,624.1028909
109,-3500.48996,484.6826376
110,-2991.673899,353.2941289
111,-2320.942467,408.5447786
112,-2591.351246,513.4027899
113,-4059.830319,765.2165839
114,-3895.510727,660.8245527
115,-3709.842539,348.947586
116,-3546.796032,469.9495995
117,-4557.162619,803.5225524
118,-2131.802545,136.7846939
119,-2864.486033,565.0999147
120,-3875.359406,749.320407
121,-2131.802545,364.3451366
122,-2777.088965,556.1970995
123,-3812.695326,938.1994673
124,-2898.388501,933.2113174
125,-2131.802545,430.5478458
126,-3894.073756,706.9837391
127,-2987.691663,616.6734816
128,-3154.007974,1310.429724
129,-2131.802545,390.7621084
130,-3149.184325,601.3790733
131,-4149.433689,542.4887572
132,-2131.802545,237.5961472
133,-3441.269498,202.5244866
134,-2233.00365,120.5460831
135,-3278.34803,512.5055307
136,-2990.038317,623.7394358
137,-2502.33851,319.3645915
138,-4218.486266,546.1628047
139,-3902.533944,743.7260204
140,-3379.919401,453.4548915
141,-4122.310058,480.687348
142,-2131.802545,366.9113427
143,-2131.802545,409.6728448
144,-3488.416346,846.2375558
145,-4193.084377,598.3281974
146,-3522.448466,444.5876115
147,-2131.802545,326.5725516
148,-2131.802545,186.3336771
149,-3236.93111,957.4872024
150,-2965.984596,484.247429
151,-2131.802545,66.3890734
152,-2360.782893,355.5415272
153,-3356.550323,320.5566475
154,-3166.810422,529.2165518
155,-2131.802545,180.5161353
156,-2645.694827,161.3017881
157,-2131.802545,29.36598867
158,-2131.802545,53.35756854
159,-2831.942531,329.0763629
160,-2702.825699,309.6676227
161,-2131.802545,138.1778002
162,-4257.292452,499.4983764
163,-2131.802545,116.109894
164,-2131.802545,110.5313109
165,-3981.523102,418.9151317
166,-2131.802545,210.5838933
167,-2773.898181,283.7316209
168,-2427.490153,373.5438206
169,-3267.879642,258.379121
170,-2131.802545,148.1415601
171,-2877.656252,106.3336735
172,-3214.007993,224.0780911
173,-2131.802545,55.98082545
174,-2360.782893,426.627963
175,-2131.802545,210.0165586
176,-2452.829653,194.9131805
177,-4426.133231,468.658919
178,-3445.784446,352.2308459
179,-2131.802545,187.2300774
180,-2775.424738,153.141711
181,-3745.752139,217.1960017
182,-2131.802545,126.1057437
183,-2452.829653,73.40115361
184,-2686.569727,88.24839583
185,-2131.802545,47.72349941
186,-2902.003817,202.6509604
187,-2725.062163,230.0642461
188,-2131.802545,89.65866866
189,-2525.885879,149.2923504
190,-2360.782893,190.6089031
191,-2813.119136,86.50768684
192,-2131.802545,135.2192104
193,-2949.351891,224.4874308
194,-2131.802545,197.7450358
195,-2427.490153,147.8251894
196,-2777.088965,105.652898
197,-2813.160662,208.5494883
198,-2320.942467,107.2557451
199,-3466.379503,208.1520626
200,-3884.024944,802.5942433
201,-2877.656252,231.2654299
202,-2131.802545,268.0153953
203,-2131.802545,221.5086698
204,-2810.396946,114.0621426
205,-2529.75717,74.19411074
206,-3145.925905,218.6249085
207,-2131.802545,149.531843
208,-2777.088965,145.5414375
209,-2427.490153,230.5764637
210,-3794.475753,430.9459406
211,-2131.802545,98.37207273
212,-2860.686107,175.7564448
213,-2131.802545,46.45673491
214,-3267.759653,285.1731592
215,-2326.289048,279.1207201
216,-2131.802545,222.3437777
217,-3181.3354,168.7131009
218,-2427.490153,330.2747978
219,-2131.802545,229.5912092
220,-2549.922815,124.1861827
221,-2700.764103,238.1193604
222,-2775.424738,129.7090853
223,-2131.802545,105.6148791
224,-2131.802545,105.5232793
225,-2131.802545,206.0217475
226,-2131.802545,153.1514576
227,-3100.588765,230.9062599
228,-2902.003817,160.9880541
229,-2131.802545,159.4805021
230,-2513.76622,148.8962839
231,-2233.00365,132.4089388
232,-2131.802545,75.64065119
233,-2131.802545,82.39477712
234,-2131.802545,133.0583357
235,-3076.393992,279.4161016
236,-2781.094988,187.8726937
237,-2131.802545,169.682042
238,-2131.802545,140.320872
239,-2131.802545,136.2375716
240,-2131.802545,156.8388383
241,-2131.802545,243.5107638
242,-2320.942467,140.8507554
243,-2131.802545,165.8031982
244,-3787.591158,175.388452
245,-2131.802545,230.6430785
246,-2131.802545,120.4302327
247,-2131.802545,87.15245675
248,-2777.088965,172.70455
249,-2686.569727,245.133001
250,-2233.00365,168.6269457
251,-2739.353041,107.5706086
252,-2131.802545,82.73941148
253,-2702.825699,85.44300307
254,-2131.802545,116.7111386
255,-2131.802545,30.90519794
256,-2131.802545,66.27804542
257,-2131.802545,47.44942104
258,-2549.922815,74.44228537
259,-2131.802545,99.90053743
260,-2131.802545,122.7975117
261,-3525.505865,224.2187111
262,-2131.802545,125.2006399
263,-2594.279571,55.77218603
264,-2549.89661,49.96237356
265,-2233.00365,91.92484465
266,-2131.802545,40.19691617
267,-2787.282162,218.8988584
268,-4332.594478,120.2566525
269,-2233.00365,83.60406888
270,-2643.32213,97.0599612
271,-2360.782893,174.4948223
272,-2800.374217,82.39244639
273,-2131.802545,29.74038226
274,-2131.802545,80.08436648
275,-2233.00365,119.9525679
276,-3324.239189,96.16092566
277,-2131.802545,88.45875027
278,-2589.260739,172.5615577
279,-2360.782893,103.3556834
280,-2131.802545,64.86649945
281,-2326.289048,95.74230647
282,-2233.00365,61.69883481
283,-2131.802545,126.2721663
284,-2131.802545,168.5941521
285,-2131.802545,91.42776164
286,-2877.656252,50.10208244
287,-2700.764103,96.69191033
288,-2739.353041,18.9669642
289,-2775.424738,171.8706254
290,-2131.802545,67.34797038
291,-2759.820185,179.9579062
292,-2131.802545,91.30763699
293,-2131.802545,60.34889536
294,-2233.00365,156.4733323
295,-2131.802545,112.7610626
296,-2452.829653,169.2476055
297,-2131.802545,113.9967243
298,-2513.76622,136.5810447
299,-2131.802545,183.1546669
300,-2952.302392,131.4350049
301,-2131.802545,35.81345552
302,-3899.010767,286.8563126
303,-2990.038317,107.4602025
304,-2683.345834,215.7376136
305,-3214.178982,146.0307344
306,-2831.942531,108.2696032
307,-2131.802545,75.8579198
308,-2131.802545,66.9955628
309,-2831.942531,271.410877
310,-2831.942531,183.9583783
311,-2131.802545,127.7518451
312,-2131.802545,89.8020532
313,-2131.802545,114.3153086
314,-2360.782893,159.6079572
315,-2131.802545,45.25760354
316,-3788.635929,179.1008054
317,-2131.802545,55.72542465
318,-2131.802545,74.47286982
319,-2131.802545,72.50529976
320,-2131.802545,34.03577307
321,-2877.656252,84.29055325
322,-2131.802545,47.02048034
323,-2233.00365,86.49443218
324,-2131.802545,51.51187974
325,-2131.802545,36.64613938
326,-2131.802545,42.58117982
327,-2131.802545,49.51624728
328,-2739.353041,79.31795263
329,-2131.802545,37.93442013
330,-2131.802545,71.46197049
331,-2813.160662,141.7998924
332,-2131.802545,37.72858502
333,-2131.802545,54.46984104
334,-2813.119136,214.0028454
335,-2773.107785,190.0723206
336,-2775.424738,75.52139121
337,-2131.802545,97.73862603
338,-2131.802545,26.50228676
339,-2131.802545,49.14105422
340,-2877.656252,17.418323
341,-2131.802545,79.12916838
342,-2131.802545,52.8852863
343,-2131.802545,80.99636228
344,-2131.802545,108.7380361
345,-2131.802545,29.96869326
346,-4171.473804,158.9832634
347,-2131.802545,65.86030243
348,-3903.002075,328.0178368
349,-3244.30404,216.831438
350,-2326.289048,123.1193212
351,-2131.802545,27.7342125
352,-2131.802545,31.59334928
353,-2131.802545,22.35884936
354,-2131.802545,17.39253794
355,-2131.802545,14.93186213
356,-2326.289048,37.69741136
357,-2131.802545,10.56129816
358,-2131.802545,70.65164512
359,-2131.802545,39.0774167
360,-2131.802545,37.76790533
361,-2131.802545,29.46002161
362,-2131.802545,27.62407031
363,-2131.802545,57.06495886
364,-2131.802545,87.20655
365,-2131.802545,49.16101924
366,-2131.802545,81.34738158
367,-2131.802545,62.42442259
368,-2131.802545,58.27036979
369,-2131.802545,54.02241679
370,-2326.289048,143.5027988
371,-2131.802545,60.32164511
372,-2131.802545,46.6871513
373,-3075.039386,97.65447826
374,-2131.802545,36.97922557
375,-2131.802545,21.31037808
376,-2131.802545,67.21108744
377,-2131.802545,66.03641835
378,-3927.695261,127.3419439
379,-2725.062163,39.0276968
380,-2360.782893,31.06086452
381,-2131.802545,79.14144215
382,-2131.802545,35.55928315
383,-3308.08894,71.72956602
384,-2131.802545,68.2990394
385,-2326.289048,38.81025172
386,-2131.802545,84.14166966
387,-2131.802545,45.83309551
388,-2131.802545,106.4102908
389,-2131.802545,83.4290984
390,-2131.802545,23.8229481
391,-2131.802545,48.90119362
392,-2131.802545,21.60607071
393,-2131.802545,22.6159216
394,-2877.656252,26.13592652
395,-2877.656252,81.69392262
396,-2131.802545,39.97026272
397,-2131.802545,63.67967809
398,-2360.782893,97.59937057
399,-2131.802545,62.97475861
400,-2777.088965,125.9048424
401,-2131.802545,40.22778724
402,-2326.289048,149.664549
403,-2131.802545,119.9855691
404,-2683.345834,48.93197304
405,-2452.871073,97.40607193
406,-2452.829653,34.81141814
407,-2131.802545,14.27853923
408,-2131.802545,57.67374512
409,-2131.802545,21.99340737
410,-2131.802545,44.56632754
411,-2131.802545,24.38690485
412,-2131.802545,78.86756469
413,-2131.802545,65.83148543
414,-2696.536995,38.74306377
415,-2360.782893,99.30359231
416,-2131.802545,12.94996304
417,-2131.802545,87.92106551
418,-2131.802545,26.27230781
419,-2131.802545,42.37407795
420,-2131.802545,81.09048012
421,-2131.802545,39.98049822
422,-2131.802545,19.96324818
423,-2131.802545,26.59924039
424,-2131.802545,65.66034473
425,-2233.00365,30.83361436
426,-2131.802545,41.46062105
427,-2233.00365,21.77647842
428,-2131.802545,43.02467408
429,-2131.802545,29.64280716
430,-2131.802545,25.79160547
431,-2131.802545,27.20011601
432,-2131.802545,20.6901657
433,-2131.802545,28.8195448
434,-2131.802545,60.61051282
435,-2131.802545,76.0971898
436,-2641.260533,27.69068157
437,-2808.040359,93.9263961
438,-2131.802545,87.23190595
439,-2320.942467,57.38992534
440,-2131.802545,34.02392395
441,-3522.448466,80.16954311
442,-2320.942467,31.26214052
443,-2573.004768,28.28509935
444,-2131.802545,10.3328463
445,-2131.802545,68.44309491
446,-2131.802545,22.43091989
447,-2131.802545,18.22169371
448,-2594.279571,89.65037682
449,-2131.802545,116.9272887
450,-2131.802545,17.94240283
451,-2131.802545,16.23219327
452,-2131.802545,9.387331902
453,-2131.802545,10.24981442
454,-2131.802545,6.462187691
455,-2131.802545,45.39247619
456,-2131.802545,36.55978815
457,-2131.802545,22.79162106
458,-2594.279571,55.45271028
459,-2131.802545,34.75497838
460,-2131.802545,84.34191317
461,-2529.75717,37.01440754
462,-2131.802545,55.71058532
463,-2233.00365,39.76562801
464,-2131.802545,63.33529163
465,-2233.00365,21.94145905
466,-2131.802545,17.95220143
467,-2233.00365,28.23860495
468,-2233.00365,8.473293721
469,-3559.852888,34.97239849
470,-2131.802545,14.43985512
471,-2131.802545,63.1486357
472,-2233.00365,44.2502749
473,-2131.802545,38.94522268
474,-2131.802545,35.46597513
475,-2594.279571,37.04465831
476,-2131.802545,14.55095457
477,-2131.802545,16.38603609
478,-4457.027915,86.09492801
479,-2131.802545,66.32604013
480,-2645.832243,23.03977326
481,-2131.802545,13.03549403
482,-2131.802545,19.08414875
483,-2131.802545,16.22497035
484,-2131.802545,37.44146437
485,-2777.088965,46.14165281
486,-2131.802545,17.45790097
487,-2131.802545,13.51214105
488,-2131.802545,15.06699202
489,-2131.802545,70.51121334
490,-2131.802545,32.37945247
491,-2131.802545,9.161223293
492,-2131.802545,30.66656181
493,-2131.802545,39.6799172
494,-2131.802545,12.3832006
495,-2131.802545,39.56888439
496,-2131.802545,21.96432126
497,-2131.802545,15.4106914
498,-2131.802545,12.86369775
499,-2131.802545,10.83963892
500,-2326.289048,100.5050954
501,-2233.00365,20.0390534
502,-2131.802545,26.31135183
503,-2233.00365,15.75758338
504,-2810.396946,25.55011733
505,-2131.802545,36.84402011
506,-2813.160662,128.7140003
507,-2131.802545,28.29768219
508,-2131.802545,12.50423491
509,-2573.004768,11.13845416
510,-2131.802545,14.59904264
511,-2131.802545,15.9926497
512,-2131.802545,45.5074728
513,-2131.802545,30.57883285
514,-2131.802545,33.7543747
515,-2131.802545,17.45709678
516,-2131.802545,43.95038958
517,-2131.802545,15.46437382
518,-2131.802545,11.73298698
519,-2131.802545,26.13981686
520,-2131.802545,14.55649779
521,-2131.802545,13.15898777
522,-2131.802545,11.81960091
523,-2645.832243,57.93587066
524,-2683.345834,32.50092695
525,-2131.802545,40.44761288
526,-2131.802545,18.31758102
527,-2131.802545,13.33288746
528,-2131.802545,30.15489094
529,-2131.802545,15.03062162
530,-2861.481971,27.17796307
531,-2131.802545,11.15465424
532,-2131.802545,5.859618167
533,-2131.802545,10.38489536
534,-2131.802545,25.60086662
535,-2131.802545,38.51533036
536,-2131.802545,28.57712152
537,-2131.802545,12.49189166
538,-2131.802545,14.93030173
539,-2131.802545,22.59522477
540,-2131.802545,15.42039137
541,-2131.802545,26.96431209
542,-2131.802545,6.825756205
543,-2131.802545,23.76603607
544,-2131.802545,10.35670242
545,-2131.802545,15.07415249
546,-2131.802545,14.31942487
547,-2320.942467,13.50086438
548,-2131.802545,6.116107132
549,-2131.802545,11.45840112
550,-2131.802545,10.93721091
551,-2131.802545,18.1818498
552,-2131.802545,11.92267959
553,-2131.802545,10.21470795
554,-2131.802545,13.02097785
555,-3026.568224,38.82769021
556,-2131.802545,15.81231897
557,-2131.802545,8.380631939
558,-2131.802545,15.33737896
559,-2131.802545,28.06382589
560,-2725.062163,22.77556676
561,-2131.802545,10.90352336
562,-2131.802545,18.39170192
563,-2131.802545,12.93486651
564,-2131.802545,13.46938485
565,-2131.802545,14.98722063
566,-2131.802545,10.78049046
567,-2131.802545,15.32258758
568,-2131.802545,16.14809039
569,-2131.802545,24.01264161
570,-2131.802545,17.56296801
571,-2131.802545,7.257512302
572,-2131.802545,10.50463265
573,-2131.802545,10.25298492
574,-2131.802545,10.74231139
575,-2131.802545,6.802943321
576,-2131.802545,20.00219205
