x,y
0.000000000000000000e+00,3.310000000000000164e-01
1.000000000000000000e+00,5.420000000000000373e-01
2.000000000000000000e+00,2.049999999999999878e-01
3.000000000000000000e+00,3.990000000000000213e-01
4.000000000000000000e+00,4.329999999999999960e-01
5.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,3.270000000000000129e-01
7.000000000000000000e+00,3.850000000000000089e-01
8.000000000000000000e+00,3.350000000000000200e-01
9.000000000000000000e+00,7.199999999999999456e-02
1.000000000000000000e+01,5.400000000000000355e-01
1.100000000000000000e+01,4.440000000000000058e-01
1.200000000000000000e+01,3.860000000000000098e-01
1.300000000000000000e+01,7.099999999999999645e-01
1.400000000000000000e+01,3.180000000000000049e-01
1.500000000000000000e+01,5.240000000000000213e-01
1.600000000000000000e+01,4.650000000000000244e-01
1.700000000000000000e+01,3.370000000000000218e-01
1.800000000000000000e+01,4.599999999999999922e-02
1.900000000000000000e+01,4.899999999999999911e-01
2.000000000000000000e+01,6.049999999999999822e-01
2.100000000000000000e+01,5.799999999999999600e-01
2.200000000000000000e+01,5.230000000000000204e-01
2.300000000000000000e+01,6.189999999999999947e-01
2.400000000000000000e+01,4.050000000000000266e-01
2.500000000000000000e+01,5.989999999999999769e-01
2.600000000000000000e+01,1.799999999999999933e-01
2.700000000000000000e+01,4.480000000000000093e-01
2.800000000000000000e+01,1.499999999999999944e-02
2.900000000000000000e+01,3.240000000000000102e-01
3.000000000000000000e+01,1.970000000000000084e-01
3.100000000000000000e+01,3.549999999999999822e-01
3.200000000000000000e+01,2.839999999999999747e-01
3.300000000000000000e+01,2.600000000000000089e-01
3.400000000000000000e+01,2.889999999999999791e-01
3.500000000000000000e+01,7.359999999999999876e-01
3.600000000000000000e+01,7.299999999999999822e-01
3.700000000000000000e+01,4.349999999999999978e-01
3.800000000000000000e+01,6.300000000000000044e-01
3.900000000000000000e+01,6.510000000000000231e-01
4.000000000000000000e+01,8.599999999999999312e-02
4.100000000000000000e+01,6.300000000000000044e-01
4.200000000000000000e+01,5.160000000000000142e-01
4.300000000000000000e+01,2.889999999999999791e-01
4.400000000000000000e+01,3.240000000000000102e-01
4.500000000000000000e+01,5.360000000000000320e-01
4.600000000000000000e+01,4.580000000000000182e-01
4.700000000000000000e+01,7.389999999999999902e-01
4.800000000000000000e+01,7.099999999999999645e-01
4.900000000000000000e+01,4.809999999999999831e-01
5.000000000000000000e+01,2.620000000000000107e-01
5.100000000000000000e+01,7.299999999999999822e-01
5.200000000000000000e+01,7.359999999999999876e-01
5.300000000000000000e+01,2.099999999999999922e-01
5.400000000000000000e+01,7.179999999999999716e-01
5.500000000000000000e+01,6.460000000000000187e-01
5.600000000000000000e+01,8.499999999999999778e-01
5.700000000000000000e+01,7.850000000000000311e-01
5.800000000000000000e+01,4.420000000000000040e-01
5.900000000000000000e+01,6.850000000000000533e-01
6.000000000000000000e+01,6.099999999999999867e-01
6.100000000000000000e+01,7.600000000000000089e-01
6.200000000000000000e+01,6.490000000000000213e-01
6.300000000000000000e+01,7.319999999999999840e-01
6.400000000000000000e+01,3.489999999999999769e-01
6.500000000000000000e+01,5.430000000000000382e-01
6.600000000000000000e+01,7.850000000000000311e-01
6.700000000000000000e+01,4.969999999999999973e-01
6.800000000000000000e+01,7.359999999999999876e-01
6.900000000000000000e+01,7.359999999999999876e-01
7.000000000000000000e+01,6.979999999999999538e-01
7.100000000000000000e+01,7.299999999999999822e-01
7.200000000000000000e+01,6.850000000000000533e-01
7.300000000000000000e+01,5.849999999999999645e-01
7.400000000000000000e+01,5.999999999999999778e-01
7.500000000000000000e+01,8.850000000000000089e-01
7.600000000000000000e+01,6.850000000000000533e-01
7.700000000000000000e+01,7.850000000000000311e-01
7.800000000000000000e+01,7.369999999999999885e-01
7.900000000000000000e+01,6.899999999999999467e-01
