target_id,target_type,x,y,defense,significance,score,raw_score,normalized_distance,angle,adjusted_defense,adjusted_significance,affected_by_defense_posts,selected_by_weighted_kmeans,selected_by_random_forest,selected_by_top_k,selected_by_threshold,selected_method_count
1,2,-45.0,28.0,4.0,2.0,1.0,41.730940192091595,0.4397674483413435,-1.014197008784674,4.0,2.0199999999999996,[],1,1,1,1,4
3,2,35.0,42.0,3.0,2.0,0.9510709098838624,41.34881865946262,0.461524376019105,0.6947382761967031,3.0,2.0199999999999996,[],1,1,1,1,4
2,2,1.0,74.0,4.0,2.0,0.7671936587639193,39.912792425441545,0.7131594633089152,0.013512691013328216,4.0,2.0299999999999994,[],1,1,1,1,4
9,1,29.0,7.0,2.0,1.0,0.5161453258557525,37.952180169887306,0.13825926576525455,1.3339475658479765,2.0,1.0,[],1,1,1,1,4
11,1,-12.0,15.0,1.0,1.0,0.49214450392205644,37.764740942223554,0.0,-0.6747409422235526,1.0,1.0,[],1,1,1,0,3
6,1,38.0,21.0,2.0,1.0,0.40730716988191756,37.10218678414241,0.3150443060067746,1.0659349551357702,2.0,1.0,[],1,1,1,0,3
17,1,-42.0,25.0,1.0,1.0,0.3716637387123866,36.823822266953805,0.3861139217225277,-1.033885584054851,4.0,1.0,[1],0,1,1,0,2
19,1,9.0,32.0,1.0,1.0,0.3627666341798436,36.75433854649496,0.18262136633835613,0.2741674511196588,1.0,1.0,[],0,0,1,0,1
5,1,-18.0,38.0,2.0,1.0,0.33491034530401564,36.53678927727043,0.2972275528333217,-0.4423742229767449,2.0,1.0,[],0,0,0,0,0
4,1,24.0,46.0,2.0,1.0,0.28559963306860725,36.151687390239715,0.4252496276345483,0.48088728019533583,3.0,1.0,[3],0,0,0,0,0
18,1,33.0,46.0,1.0,1.0,0.27838790199473573,36.09536593148553,0.4867851135324568,0.6223028711872075,3.0,1.0,[3],0,0,0,0,0
8,1,-49.0,44.0,2.0,1.0,0.25619058752933077,35.92201155674374,0.6070803467979001,-0.8391098927006809,4.0,1.0,[1],0,0,0,0,0
15,1,-9.0,51.0,1.0,1.0,0.24909787177204118,35.86661957195015,0.4239942823814805,-0.1746721990082397,1.0,1.0,[],0,0,0,0,0
13,1,10.0,60.0,1.0,1.0,0.19648512765103002,35.455729805318136,0.541639922526441,0.16514867741462683,4.0,1.0,[2],0,0,0,0,0
7,1,-17.0,66.0,2.0,1.0,0.16893184956150398,35.24054695954007,0.6369919630681135,-0.252095980668074,4.0,1.0,[2],0,0,0,0,0
12,1,44.0,66.0,1.0,1.0,0.15683950062831092,35.14610933773945,0.7823362616810337,0.5880026035475675,1.0,1.0,[],0,0,0,0,0
20,1,-38.0,70.0,1.0,1.0,0.14353883890926247,35.04223515514177,0.7865933364909561,-0.4973427163468224,1.0,1.0,[],0,0,0,0,0
16,1,20.0,80.0,1.0,1.0,0.09358244600935495,34.652090695593934,0.8232015270279744,0.24497866312686414,4.0,1.0,[2],0,0,0,0,0
14,1,-28.0,84.0,1.0,1.0,0.0753350354524533,34.50958388682306,0.9023511960911879,-0.3217505543966422,1.0,1.0,[],0,0,0,0,0
10,1,3.0,96.0,1.0,1.0,0.0,33.92123983343027,1.0,0.031239833430268277,1.0,1.0,[],0,0,0,0,0
