method_a,method_b,intersection_count,union_count,jaccard,intersection_ids
weighted_kmeans,weighted_kmeans,6,6,1.0,"[1, 2, 3, 6, 9, 11]"
weighted_kmeans,random_forest,6,7,0.8571428571428571,"[1, 2, 3, 6, 9, 11]"
weighted_kmeans,top_k,6,8,0.75,"[1, 2, 3, 6, 9, 11]"
weighted_kmeans,threshold,4,6,0.6666666666666666,"[1, 2, 3, 9]"
random_forest,weighted_kmeans,6,7,0.8571428571428571,"[1, 2, 3, 6, 9, 11]"
random_forest,random_forest,7,7,1.0,"[1, 2, 3, 6, 9, 11, 17]"
random_forest,top_k,7,8,0.875,"[1, 2, 3, 6, 9, 11, 17]"
random_forest,threshold,4,7,0.5714285714285714,"[1, 2, 3, 9]"
top_k,weighted_kmeans,6,8,0.75,"[1, 2, 3, 6, 9, 11]"
top_k,random_forest,7,8,0.875,"[1, 2, 3, 6, 9, 11, 17]"
top_k,top_k,8,8,1.0,"[1, 2, 3, 6, 9, 11, 17, 19]"
top_k,threshold,4,8,0.5,"[1, 2, 3, 9]"
threshold,weighted_kmeans,4,6,0.6666666666666666,"[1, 2, 3, 9]"
threshold,random_forest,4,7,0.5714285714285714,"[1, 2, 3, 9]"
threshold,top_k,4,8,0.5,"[1, 2, 3, 9]"
threshold,threshold,4,4,1.0,"[1, 2, 3, 9]"
