target_id,x,y,is_new_target,before_cluster,after_cluster,significance,defense,method_used,fallback_reason
1,-388.0,1090.0,False,3,3,2.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
2,-479.0,999.0,False,3,3,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
3,156.0,6.0,False,5,1,2.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
4,724.0,665.0,False,3,3,2.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
5,982.0,-594.0,False,2,2,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
6,885.0,-386.0,False,2,2,2.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
7,1138.0,-1322.0,False,4,4,2.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
8,-1871.0,1048.0,False,3,3,2.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
9,-943.0,735.0,False,3,3,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
10,-405.0,-1017.0,False,4,4,2.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
11,640.0,-1411.0,False,4,4,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
12,1453.0,1077.0,False,3,3,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
13,-1413.0,93.0,False,1,5,2.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
14,-1942.0,149.0,False,0,5,2.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
15,491.0,-1114.0,False,4,4,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
16,-1794.0,-1253.0,False,0,0,2.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
17,1167.0,-262.0,False,2,2,2.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
18,-1575.0,-1288.0,False,0,0,2.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
19,-647.0,239.0,False,1,5,2.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
20,330.0,1120.0,False,3,3,2.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
21,-687.0,658.0,False,3,3,2.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
22,523.0,1349.0,False,3,3,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
23,-330.0,-108.0,False,1,1,2.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
24,297.0,-853.0,False,4,4,2.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
25,-1945.0,-1188.0,False,0,0,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
26,-1743.0,-712.0,False,0,0,2.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
27,-1957.0,-822.0,False,0,0,2.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
28,1959.0,-707.0,False,2,2,2.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
29,1655.0,-992.0,False,2,2,2.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
30,1135.0,-282.0,False,2,2,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
31,-1368.0,-1439.0,False,0,0,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
32,-1494.0,-625.0,False,0,0,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
33,37.0,-400.0,False,1,1,2.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
34,445.0,-217.0,False,5,1,2.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
35,483.0,-925.0,False,4,4,2.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
36,812.0,93.0,False,5,2,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
37,1050.0,746.0,False,3,3,2.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
38,-657.0,74.0,False,1,5,2.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
39,365.0,176.0,False,5,1,2.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
40,73.0,-189.0,False,5,1,2.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
43,18.0,-1191.0,False,4,4,1.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
57,132.0,-735.0,False,4,4,1.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
67,543.0,-493.0,False,2,2,1.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
68,351.0,-524.0,False,2,2,1.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
89,-390.0,-130.0,False,1,5,1.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
104,-308.0,-481.0,False,1,5,1.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
106,330.0,-62.0,False,5,1,1.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
117,185.0,53.0,False,5,1,1.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
119,167.0,-1169.0,False,4,4,1.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
123,-689.0,-443.0,False,1,5,1.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
124,-251.0,-209.0,False,1,1,1.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
128,-361.0,-501.0,False,1,5,1.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
