target_id,x,y,score,defense,significance,cluster_id
1,-388.0,1090.0,0.6139319442666408,3.0,2.0,0
2,-479.0,999.0,0.6307644048218543,4.0,2.0,0
3,156.0,6.0,0.8773030311442909,3.0,2.0,0
4,724.0,665.0,0.6879590652392595,3.0,2.0,0
5,982.0,-594.0,0.7968320857554492,4.0,2.0,1
6,885.0,-386.0,0.8091270712433984,3.0,2.0,1
7,1138.0,-1322.0,0.7507166599264674,1.0,2.0,1
8,-1871.0,1048.0,0.5555614589312449,2.0,2.0,2
9,-943.0,735.0,0.6661694981041402,4.0,2.0,0
10,-405.0,-1017.0,0.8723645321924255,2.0,2.0,1
11,640.0,-1411.0,0.8037959000570035,4.0,2.0,1
12,1453.0,1077.0,0.5855053537740738,4.0,2.0,0
13,-1413.0,93.0,0.6989353436217719,2.0,2.0,2
14,-1942.0,149.0,0.6254379382410498,3.0,2.0,2
15,491.0,-1114.0,0.8501588862254333,4.0,2.0,1
16,-1794.0,-1253.0,0.6659643181043653,1.0,2.0,2
17,1167.0,-262.0,0.758515037701745,2.0,2.0,1
18,-1575.0,-1288.0,0.6922949029804641,3.0,2.0,2
19,-647.0,239.0,0.7697881654994294,2.0,2.0,2
20,330.0,1120.0,0.6076015519540809,2.0,2.0,0
21,-687.0,658.0,0.6919819000771619,1.0,2.0,0
22,523.0,1349.0,0.5763872785864372,4.0,2.0,0
23,-330.0,-108.0,0.8881633531846307,1.0,2.0,2
24,297.0,-853.0,0.9025997745374172,3.0,2.0,1
25,-1945.0,-1188.0,0.6452091128804658,4.0,2.0,2
26,-1743.0,-712.0,0.681851110226317,3.0,2.0,2
27,-1957.0,-822.0,0.6518777858019011,2.0,2.0,2
28,1959.0,-707.0,0.6528037853708443,1.0,2.0,1
29,1655.0,-992.0,0.6930385642788026,1.0,2.0,1
30,1135.0,-282.0,0.7629161210409053,4.0,2.0,1
31,-1368.0,-1439.0,0.7109380338131747,4.0,2.0,2
32,-1494.0,-625.0,0.717299077154503,4.0,2.0,2
33,37.0,-400.0,0.9999570360743315,1.0,2.0,1
34,445.0,-217.0,0.8812658037604607,1.0,2.0,0
35,483.0,-925.0,0.8680877689686004,3.0,2.0,1
36,812.0,93.0,0.7749897926224829,4.0,2.0,0
37,1050.0,746.0,0.6605596233406167,1.0,2.0,0
38,-657.0,74.0,0.7970869152887813,4.0,2.0,2
39,365.0,176.0,0.8011434798949619,1.0,2.0,0
40,73.0,-189.0,1.0,1.0,2.0,0
43,18.0,-1191.0,0.3813314768409543,3.0,1.0,1
57,132.0,-735.0,0.4255650939014628,4.0,1.0,1
67,543.0,-493.0,0.36071327505779543,3.0,1.0,1
68,351.0,-524.0,0.40019859703202654,3.0,1.0,1
89,-390.0,-130.0,0.3643596052692915,2.0,1.0,2
104,-308.0,-481.0,0.41072512352062074,3.0,1.0,2
106,330.0,-62.0,0.35951988466727086,4.0,1.0,0
117,185.0,53.0,0.3338280820483108,2.0,1.0,0
119,167.0,-1169.0,0.3705349101401084,2.0,1.0,1
123,-689.0,-443.0,0.33341720563977806,1.0,1.0,2
124,-251.0,-209.0,0.41565753451674514,1.0,1.0,2
128,-361.0,-501.0,0.40029922612889773,1.0,1.0,2
136,219.0,-86.0,0.39579787899554725,1.0,1.0,0
138,275.0,-308.0,0.41853898952888186,1.0,1.0,1
141,-342.0,-1028.0,0.363949099277163,4.0,1.0,1
147,60.0,-70.0,0.46407179525199704,4.0,1.0,0
149,402.0,-697.0,0.3835086738273534,2.0,1.0,1
151,370.0,-772.0,0.38332589553327684,3.0,1.0,1
167,199.0,-1097.0,0.37492664995476743,3.0,1.0,1
171,-671.0,-381.0,0.334406948968058,1.0,1.0,2
174,4.0,-9.0,0.5066007938703722,3.0,1.0,0
196,86.0,-264.0,0.478664228472742,3.0,1.0,0
