cluster_id,method,num_targets,total_reward,total_path_distance,num_steps,ordered_target_ids,ordered_action_ids,random_reward_std,random_distance_std,random_trials,random_orders_sample,num_permutations
0,nearest_neighbor,4,27.15430895066569,143.75447345561832,4,"[4, 3, 2, 1]",,,,,,
0,random_mean,4,22.84194945267576,185.41251323517398,4,[],,3.070119673583111,22.55422623010793,50,"[[1, 4, 3, 2], [2, 3, 4, 1], [1, 4, 2, 3]]",
0,random_best_reward,4,27.15430895066569,143.75447345561832,4,"[4, 3, 2, 1]",,,,50,,
0,random_best_distance,4,27.15430895066569,143.75447345561832,4,"[4, 3, 2, 1]",,,,50,,
0,brute_force_reward_optimal,4,27.15430895066569,143.75447345561832,4,"[4, 3, 2, 1]","[3, 2, 1, 0]",,,,,24
0,brute_force_distance_optimal,4,27.15430895066569,143.75447345561832,4,"[4, 3, 2, 1]","[3, 2, 1, 0]",,,,,24
1,nearest_neighbor,4,30.135987974687502,164.60582761657668,4,"[5, 7, 8, 6]",,,,,,
1,random_mean,4,22.120180158248477,192.56555124226858,4,[],,4.19229172467964,18.820046164928243,50,"[[8, 5, 7, 6], [6, 7, 8, 5], [5, 7, 8, 6]]",
1,random_best_reward,4,30.135987974687502,164.60582761657668,4,"[5, 7, 8, 6]",,,,50,,
1,random_best_distance,4,30.0298134782743,149.2377467868531,4,"[5, 8, 7, 6]",,,,50,,
1,brute_force_reward_optimal,4,30.135987974687502,164.60582761657668,4,"[5, 7, 8, 6]","[0, 2, 3, 1]",,,,,24
1,brute_force_distance_optimal,4,30.0298134782743,149.2377467868531,4,"[5, 8, 7, 6]","[0, 3, 2, 1]",,,,,24
2,nearest_neighbor,4,18.486365510503862,209.3632227065794,4,"[12, 10, 11, 9]",,,,,,
2,random_mean,4,17.235819788009593,247.6923890111353,4,[],,0.7904331466819203,28.47964565951756,50,"[[10, 12, 9, 11], [12, 10, 9, 11], [10, 11, 9, 12]]",
2,random_best_reward,4,18.486365510503862,209.3632227065794,4,"[12, 10, 11, 9]",,,,50,,
2,random_best_distance,4,18.40278416071593,195.22686250124153,4,"[11, 9, 12, 10]",,,,50,,
2,brute_force_reward_optimal,4,18.486365510503862,209.3632227065794,4,"[12, 10, 11, 9]","[3, 1, 2, 0]",,,,,24
2,brute_force_distance_optimal,4,18.40278416071593,195.22686250124153,4,"[11, 9, 12, 10]","[2, 0, 3, 1]",,,,,24
3,nearest_neighbor,4,26.288679406490516,121.91912521010097,4,"[13, 15, 14, 16]",,,,,,
3,random_mean,4,23.958433795866462,132.51930676215648,4,[],,1.530430949564308,11.830587262850939,50,"[[16, 15, 13, 14], [13, 15, 16, 14], [13, 15, 16, 14]]",
3,random_best_reward,4,26.366462669072508,116.10182393712081,4,"[13, 16, 15, 14]",,,,50,,
3,random_best_distance,4,25.942538832616897,105.95058292191784,4,"[16, 13, 15, 14]",,,,50,,
3,brute_force_reward_optimal,4,26.524306284948956,110.72440362060973,4,"[15, 13, 16, 14]","[2, 0, 3, 1]",,,,,24
3,brute_force_distance_optimal,4,25.942538832616897,105.95058292191784,4,"[16, 13, 15, 14]","[3, 0, 2, 1]",,,,,24
4,nearest_neighbor,4,21.76935026904001,169.56104208358724,4,"[19, 18, 20, 17]",,,,,,
4,random_mean,4,19.23570169486613,204.99804460091994,4,[],,1.2146540477092278,24.73711852858906,50,"[[19, 20, 18, 17], [17, 20, 19, 18], [18, 19, 20, 17]]",
4,random_best_reward,4,21.76935026904001,169.56104208358724,4,"[19, 18, 20, 17]",,,,50,,
4,random_best_distance,4,20.107176118349543,167.02934433216726,4,"[18, 19, 17, 20]",,,,50,,
4,brute_force_reward_optimal,4,21.76935026904001,169.56104208358724,4,"[19, 18, 20, 17]","[2, 1, 3, 0]",,,,,24
4,brute_force_distance_optimal,4,20.317524759490777,163.52770884030468,4,"[20, 17, 19, 18]","[3, 0, 2, 1]",,,,,24
