time,event_types,replanning_count,destroyed_target_ids,disappeared_target_ids,damaged_uav_ids,available_target_count,available_uav_count,completed_cluster_count,total_cluster_count,metadata
30.0,[],0,[],[],[],200,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [16.905073147791565, -137600.0268842006], 1: [7.889004337703026, -137600.00034624012], 0: [-8.570244265188158, -137600.05123074172]}, 'uav_status_counts': {'en_route': 30, 'available': 11}}"
60.0,[],0,[],[],[],200,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [28.264691750128588, -135200.0537684012], 1: [9.178008675406051, -135200.00069248024], 0: [-24.251599641487427, -135200.10246148348]}, 'uav_status_counts': {'en_route': 30, 'available': 11}}"
90.0,[],0,[],[],[],200,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [39.62431035246561, -132800.08065260187], 1: [10.467013013109078, -132800.00103872037], 0: [-39.9329550177867, -132800.15369222523]}, 'uav_status_counts': {'en_route': 30, 'available': 11}}"
120.0,[],0,[],[],[],200,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [50.98392895480264, -130400.10753680249], 1: [11.756017350812105, -130400.00138496049], 0: [-55.61431039408597, -130400.20492296692]}, 'uav_status_counts': {'en_route': 30, 'available': 11}}"
150.0,[],0,[],[],[],200,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [62.34354755713966, -128000.13442100311], 1: [13.04502168851513, -128000.00173120061], 0: [-71.29566577038523, -128000.25615370863]}, 'uav_status_counts': {'en_route': 30, 'available': 11}}"
180.0,[],0,[],[],[],200,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [73.70316615947668, -125600.16130520376], 1: [14.334026026218154, -125600.0020774407], 0: [-86.97702114668454, -125600.3073844504]}, 'uav_status_counts': {'en_route': 30, 'available': 11}}"
210.0,[],0,[],[],[],200,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [85.0627847618137, -123200.18818940438], 1: [15.62303036392118, -123200.00242368082], 0: [-102.65837652298376, -123200.35861519215]}, 'uav_status_counts': {'en_route': 30, 'available': 11}}"
240.0,[],0,[],[],[],200,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [96.42240336415071, -120800.21507360501], 1: [16.912034701624208, -120800.00276992095], 0: [-118.33973189928305, -120800.40984593386]}, 'uav_status_counts': {'en_route': 30, 'available': 11}}"
270.0,[],0,[],[],[],200,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [107.78202196648773, -118400.24195780564], 1: [18.20103903932723, -118400.00311616107], 0: [-134.02108727558232, -118400.46107667558]}, 'uav_status_counts': {'en_route': 30, 'available': 11}}"
300.0,[],0,[],[],[],200,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [119.14164056882477, -116000.26884200628], 1: [19.490043377030258, -116000.00346240119], 0: [-149.70244265188157, -116000.51230741732]}, 'uav_status_counts': {'en_route': 30, 'available': 11}}"
