cluster_id,trial_index,completion_rate,destroyed_value,total_value,surviving_attack_uavs,mean_hit_probability,distance_consumption
1,0,0.25,1.0,4.0,1.0,0.5609537283420333,1.0
1,1,0.5,2.0,4.0,1.0,0.5441723033155496,1.0
1,2,0.25,1.0,4.0,1.0,0.5712634574137236,1.0
1,3,0.25,1.0,4.0,1.0,0.5456787086970887,1.0
1,4,0.25,1.0,4.0,1.0,0.5416358214051221,1.0
1,5,0.5,2.0,4.0,1.0,0.48325068493577256,1.0
1,6,0.5,2.0,4.0,1.0,0.5751650421012326,1.0
1,7,1.0,4.0,4.0,1.0,0.5574159239938422,1.0
1,8,0.75,3.0,4.0,1.0,0.5685463710469405,1.0
1,9,0.25,1.0,4.0,1.0,0.5416064694017991,1.0
1,10,0.5,2.0,4.0,1.0,0.5499279000847701,1.0
1,11,0.5,2.0,4.0,1.0,0.5496861998164808,1.0
1,12,0.25,1.0,4.0,1.0,0.545011089760073,1.0
1,13,0.75,3.0,4.0,1.0,0.5876485698266514,1.0
1,14,0.25,1.0,4.0,1.0,0.534519211401511,1.0
1,15,0.25,1.0,4.0,1.0,0.5387126242043234,1.0
1,16,0.0,0.0,4.0,0.0,0.0,0.0
1,17,0.25,1.0,4.0,1.0,0.5399507508016934,1.0
1,18,0.25,1.0,4.0,1.0,0.5578030936430778,1.0
1,19,0.5,2.0,4.0,1.0,0.5960397201552502,1.0
1,20,0.25,1.0,4.0,1.0,0.549267535567741,1.0
1,21,0.0,0.0,4.0,0.0,0.0,0.0
1,22,0.75,3.0,4.0,1.0,0.5417679013407111,1.0
1,23,0.25,1.0,4.0,1.0,0.5270745089374742,1.0
1,24,1.0,4.0,4.0,1.0,0.5668664722797427,1.0
1,25,0.5,2.0,4.0,1.0,0.5307078010478553,1.0
1,26,0.25,1.0,4.0,1.0,0.5145347051608073,1.0
1,27,1.0,4.0,4.0,1.0,0.5859664894946389,1.0
1,28,0.0,0.0,4.0,0.0,0.0,0.0
1,29,0.25,1.0,4.0,1.0,0.5280305241429074,1.0
1,30,0.0,0.0,4.0,0.0,0.0,0.0
1,31,0.25,1.0,4.0,1.0,0.5257393172423569,1.0
1,32,0.0,0.0,4.0,1.0,0.488695547608347,1.0
1,33,0.5,2.0,4.0,1.0,0.5573875965548599,1.0
1,34,0.0,0.0,4.0,1.0,0.5330045526391938,1.0
1,35,0.25,1.0,4.0,1.0,0.5419284964891091,1.0
1,36,0.25,1.0,4.0,1.0,0.5717753433383794,1.0
1,37,0.5,2.0,4.0,1.0,0.5636067606471528,1.0
1,38,0.5,2.0,4.0,1.0,0.607197129918267,1.0
1,39,0.25,1.0,4.0,1.0,0.5702221096490815,1.0
1,40,0.0,0.0,4.0,1.0,0.5498707297677947,1.0
1,41,0.0,0.0,4.0,1.0,0.5374310796533158,1.0
1,42,0.25,1.0,4.0,1.0,0.5538108090365015,1.0
1,43,0.75,3.0,4.0,1.0,0.5806686071724539,1.0
1,44,0.75,3.0,4.0,1.0,0.5325753821282786,1.0
1,45,0.5,2.0,4.0,1.0,0.5525596633198911,1.0
1,46,0.0,0.0,4.0,1.0,0.5647112251965082,1.0
1,47,0.25,1.0,4.0,1.0,0.5392131255421903,1.0
1,48,0.0,0.0,4.0,1.0,0.537823096214373,1.0
1,49,0.5,2.0,4.0,1.0,0.5750443479126657,1.0
1,50,0.5,2.0,4.0,1.0,0.5224008571791928,1.0
1,51,0.25,1.0,4.0,1.0,0.5087540468724455,1.0
1,52,0.0,0.0,4.0,1.0,0.5762035136089283,1.0
1,53,0.25,1.0,4.0,1.0,0.5722415523960944,1.0
1,54,0.0,0.0,4.0,0.0,0.0,0.0
1,55,1.0,4.0,4.0,1.0,0.6039906279000822,1.0
1,56,0.5,2.0,4.0,1.0,0.5212212971220422,1.0
1,57,0.25,1.0,4.0,1.0,0.5321108034676896,1.0
1,58,1.0,4.0,4.0,1.0,0.5250945866712069,1.0
1,59,0.25,1.0,4.0,1.0,0.5218239830710716,1.0
1,60,0.25,1.0,4.0,1.0,0.5674150172023016,1.0
1,61,0.25,1.0,4.0,1.0,0.5285972575516754,1.0
1,62,0.75,3.0,4.0,1.0,0.5354937133397114,1.0
1,63,0.5,2.0,4.0,1.0,0.4520633769850528,1.0
1,64,0.25,1.0,4.0,1.0,0.46730922846167566,1.0
1,65,0.25,1.0,4.0,1.0,0.5564626761365928,1.0
1,66,0.25,1.0,4.0,1.0,0.5638271165996795,1.0
1,67,0.75,3.0,4.0,1.0,0.512064567842731,1.0
1,68,0.5,2.0,4.0,1.0,0.5617946393416654,1.0
1,69,0.25,1.0,4.0,1.0,0.5152919820996698,1.0
1,70,0.5,2.0,4.0,1.0,0.5635792191845697,1.0
1,71,0.5,2.0,4.0,1.0,0.5775467211404947,1.0
1,72,0.5,2.0,4.0,1.0,0.5551203271832382,1.0
1,73,0.25,1.0,4.0,1.0,0.54555029790302,1.0
1,74,0.25,1.0,4.0,1.0,0.5145935791839698,1.0
1,75,1.0,4.0,4.0,1.0,0.5175573427321983,1.0
1,76,0.75,3.0,4.0,1.0,0.5247099939044966,1.0
1,77,0.0,0.0,4.0,0.0,0.0,0.0
1,78,0.5,2.0,4.0,1.0,0.4671602694904072,1.0
1,79,0.25,1.0,4.0,1.0,0.5381469892504807,1.0
1,80,0.75,3.0,4.0,1.0,0.5058136497679712,1.0
1,81,0.0,0.0,4.0,0.0,0.0,0.0
1,82,0.0,0.0,4.0,1.0,0.5902680438933444,1.0
1,83,0.5,2.0,4.0,1.0,0.5882504852745223,1.0
1,84,0.5,2.0,4.0,1.0,0.5717020386538126,1.0
1,85,0.5,2.0,4.0,1.0,0.5709125302229308,1.0
1,86,0.25,1.0,4.0,1.0,0.5318699595629188,1.0
1,87,0.0,0.0,4.0,0.0,0.0,0.0
1,88,1.0,4.0,4.0,1.0,0.5611606886136001,1.0
1,89,0.25,1.0,4.0,1.0,0.5339922564434431,1.0
1,90,0.25,1.0,4.0,1.0,0.5528420827200619,1.0
1,91,0.0,0.0,4.0,1.0,0.46115226536137854,1.0
1,92,0.5,2.0,4.0,1.0,0.5559665661778301,1.0
1,93,0.25,1.0,4.0,1.0,0.6350158697538545,1.0
1,94,0.25,1.0,4.0,1.0,0.5868310743464369,1.0
1,95,0.5,2.0,4.0,1.0,0.5396848642029016,1.0
1,96,0.5,2.0,4.0,1.0,0.5352434547792132,1.0
1,97,0.5,2.0,4.0,1.0,0.5525074765711219,1.0
1,98,0.5,2.0,4.0,1.0,0.49336113286518674,1.0
1,99,1.0,4.0,4.0,1.0,0.5150601536213245,1.0
1,100,0.25,1.0,4.0,1.0,0.5278179877746292,1.0
1,101,0.25,1.0,4.0,1.0,0.5482721122615233,1.0
1,102,0.25,1.0,4.0,1.0,0.5300959568615453,1.0
1,103,0.25,1.0,4.0,1.0,0.4933323505592166,1.0
1,104,0.25,1.0,4.0,1.0,0.5160598536621814,1.0
1,105,0.0,0.0,4.0,0.0,0.0,0.0
1,106,0.5,2.0,4.0,1.0,0.5372902734543811,1.0
1,107,0.25,1.0,4.0,1.0,0.5447507976316123,1.0
1,108,0.0,0.0,4.0,0.0,0.0,0.0
1,109,0.5,2.0,4.0,1.0,0.5437151121399095,1.0
1,110,0.5,2.0,4.0,1.0,0.5291017257745264,1.0
1,111,0.5,2.0,4.0,1.0,0.5890815269177117,1.0
1,112,0.75,3.0,4.0,1.0,0.5036046989894107,1.0
1,113,0.5,2.0,4.0,1.0,0.5261828229868082,1.0
1,114,0.5,2.0,4.0,1.0,0.571969339369212,1.0
1,115,0.25,1.0,4.0,1.0,0.4908219400293413,1.0
1,116,0.25,1.0,4.0,1.0,0.5496396075662232,1.0
1,117,1.0,4.0,4.0,1.0,0.5453925118591259,1.0
1,118,0.0,0.0,4.0,1.0,0.5142098114898273,1.0
1,119,0.0,0.0,4.0,1.0,0.560001439023491,1.0
1,120,0.5,2.0,4.0,1.0,0.5560999738279533,1.0
1,121,0.25,1.0,4.0,1.0,0.5654184634664898,1.0
1,122,0.5,2.0,4.0,1.0,0.5475226010152507,1.0
1,123,1.0,4.0,4.0,1.0,0.5614183493475965,1.0
1,124,0.25,1.0,4.0,1.0,0.5800551926989375,1.0
1,125,0.75,3.0,4.0,1.0,0.5185697223501601,1.0
1,126,0.25,1.0,4.0,1.0,0.5369183983571864,1.0
1,127,0.75,3.0,4.0,1.0,0.526697482506544,1.0
1,128,1.0,4.0,4.0,1.0,0.5440881849071393,1.0
1,129,1.0,4.0,4.0,1.0,0.5936158629835928,1.0
1,130,0.75,3.0,4.0,1.0,0.519835612647282,1.0
1,131,0.5,2.0,4.0,1.0,0.5369933757269537,1.0
1,132,0.75,3.0,4.0,1.0,0.521359056644163,1.0
1,133,0.25,1.0,4.0,1.0,0.5268591810578924,1.0
1,134,1.0,4.0,4.0,1.0,0.5427993807847074,1.0
1,135,0.5,2.0,4.0,1.0,0.5568196424797706,1.0
1,136,0.75,3.0,4.0,1.0,0.5451918863106833,1.0
1,137,0.25,1.0,4.0,1.0,0.5919250082776165,1.0
1,138,0.0,0.0,4.0,0.0,0.0,0.0
1,139,0.0,0.0,4.0,0.0,0.0,0.0
1,140,0.5,2.0,4.0,1.0,0.5257293502404287,1.0
1,141,0.75,3.0,4.0,1.0,0.5539750894072019,1.0
1,142,0.25,1.0,4.0,1.0,0.5248907811672081,1.0
1,143,1.0,4.0,4.0,1.0,0.5725220797028931,1.0
1,144,1.0,4.0,4.0,1.0,0.594334532651203,1.0
1,145,1.0,4.0,4.0,1.0,0.6083489724581739,1.0
1,146,0.5,2.0,4.0,1.0,0.5745986237994691,1.0
1,147,1.0,4.0,4.0,1.0,0.5369243984609808,1.0
1,148,0.25,1.0,4.0,1.0,0.5466315134332285,1.0
1,149,0.0,0.0,4.0,1.0,0.594263388857919,1.0
1,150,0.5,2.0,4.0,1.0,0.46310810104584693,1.0
1,151,0.25,1.0,4.0,1.0,0.5534594475715093,1.0
1,152,0.5,2.0,4.0,1.0,0.5351961865674995,1.0
1,153,0.75,3.0,4.0,1.0,0.5934982394719747,1.0
1,154,0.25,1.0,4.0,1.0,0.5446395235022281,1.0
1,155,1.0,4.0,4.0,1.0,0.5523053275401786,1.0
1,156,0.5,2.0,4.0,1.0,0.5486472230577498,1.0
1,157,0.5,2.0,4.0,1.0,0.5674579483102542,1.0
1,158,0.5,2.0,4.0,1.0,0.5671976172565343,1.0
1,159,0.5,2.0,4.0,1.0,0.5644572566554562,1.0
1,160,0.75,3.0,4.0,1.0,0.565936927237372,1.0
1,161,1.0,4.0,4.0,1.0,0.5674674118310489,1.0
1,162,0.5,2.0,4.0,1.0,0.5530214717738822,1.0
1,163,0.75,3.0,4.0,1.0,0.5744745230943649,1.0
1,164,0.25,1.0,4.0,1.0,0.48861620328771727,1.0
1,165,0.5,2.0,4.0,1.0,0.5534737093978639,1.0
1,166,0.25,1.0,4.0,1.0,0.581993335174848,1.0
1,167,0.5,2.0,4.0,1.0,0.5397533993031922,1.0
1,168,0.75,3.0,4.0,1.0,0.5509223728551393,1.0
1,169,0.25,1.0,4.0,1.0,0.5271377393109845,1.0
1,170,0.0,0.0,4.0,0.0,0.0,0.0
1,171,1.0,4.0,4.0,1.0,0.5530644734500819,1.0
1,172,0.25,1.0,4.0,1.0,0.5572114218810096,1.0
1,173,0.5,2.0,4.0,1.0,0.5538397581703715,1.0
1,174,1.0,4.0,4.0,1.0,0.554642554923972,1.0
1,175,0.75,3.0,4.0,1.0,0.5589246092617944,1.0
1,176,0.75,3.0,4.0,1.0,0.5842656894998455,1.0
1,177,0.5,2.0,4.0,1.0,0.509447883352381,1.0
1,178,0.0,0.0,4.0,1.0,0.5093046314254841,1.0
1,179,0.5,2.0,4.0,1.0,0.5277429543427545,1.0
1,180,0.25,1.0,4.0,1.0,0.520265123879349,1.0
1,181,0.75,3.0,4.0,1.0,0.5596430950252937,1.0
1,182,0.0,0.0,4.0,0.0,0.0,0.0
1,183,0.25,1.0,4.0,1.0,0.4852038583399404,1.0
1,184,1.0,4.0,4.0,1.0,0.5238793469705729,1.0
1,185,0.0,0.0,4.0,1.0,0.5098632781594261,1.0
1,186,1.0,4.0,4.0,1.0,0.5325213583731663,1.0
1,187,0.5,2.0,4.0,1.0,0.5523341168582596,1.0
1,188,0.5,2.0,4.0,1.0,0.5809848015814765,1.0
1,189,1.0,4.0,4.0,1.0,0.5520353297535252,1.0
1,190,0.75,3.0,4.0,1.0,0.4996465258414753,1.0
1,191,0.25,1.0,4.0,1.0,0.534210096500284,1.0
1,192,0.5,2.0,4.0,1.0,0.5387148859096058,1.0
1,193,1.0,4.0,4.0,1.0,0.5466734845633252,1.0
1,194,1.0,4.0,4.0,1.0,0.5481656475575879,1.0
1,195,0.5,2.0,4.0,1.0,0.5305524455349884,1.0
1,196,0.5,2.0,4.0,1.0,0.5563367458687257,1.0
1,197,0.5,2.0,4.0,1.0,0.5213010013521265,1.0
1,198,1.0,4.0,4.0,1.0,0.5654300103406433,1.0
1,199,1.0,4.0,4.0,1.0,0.5582905466079146,1.0
1,200,0.0,0.0,4.0,0.0,0.0,0.0
1,201,0.25,1.0,4.0,1.0,0.550541307726972,1.0
1,202,1.0,4.0,4.0,1.0,0.5227133145559844,1.0
1,203,1.0,4.0,4.0,1.0,0.5104348318761339,1.0
1,204,1.0,4.0,4.0,1.0,0.5453251818616827,1.0
1,205,0.5,2.0,4.0,1.0,0.5079303456121854,1.0
1,206,0.25,1.0,4.0,1.0,0.5009360065873443,1.0
1,207,0.75,3.0,4.0,1.0,0.463098214839001,1.0
1,208,0.75,3.0,4.0,1.0,0.5764756330229155,1.0
1,209,0.0,0.0,4.0,1.0,0.48760459089992275,1.0
1,210,0.25,1.0,4.0,1.0,0.5340901251521168,1.0
1,211,0.5,2.0,4.0,1.0,0.5506604807411155,1.0
1,212,0.5,2.0,4.0,1.0,0.5881219528156603,1.0
1,213,0.0,0.0,4.0,0.0,0.0,0.0
1,214,0.5,2.0,4.0,1.0,0.5446044616087617,1.0
1,215,0.25,1.0,4.0,1.0,0.578049929328124,1.0
1,216,0.5,2.0,4.0,1.0,0.5138511413304345,1.0
1,217,0.25,1.0,4.0,1.0,0.5120003393155828,1.0
1,218,0.0,0.0,4.0,1.0,0.5599691661262465,1.0
1,219,1.0,4.0,4.0,1.0,0.5449343336034762,1.0
1,220,1.0,4.0,4.0,1.0,0.5499013451334317,1.0
1,221,0.25,1.0,4.0,1.0,0.6142990771819475,1.0
1,222,0.5,2.0,4.0,1.0,0.5222598482600733,1.0
1,223,0.0,0.0,4.0,0.0,0.0,0.0
1,224,1.0,4.0,4.0,1.0,0.5344655689631342,1.0
1,225,0.75,3.0,4.0,1.0,0.5306604603051458,1.0
1,226,0.5,2.0,4.0,1.0,0.5666343203923332,1.0
1,227,0.5,2.0,4.0,1.0,0.5802664707960649,1.0
1,228,0.25,1.0,4.0,1.0,0.5573582645646704,1.0
1,229,1.0,4.0,4.0,1.0,0.5450719858925648,1.0
1,230,0.75,3.0,4.0,1.0,0.5366805559544767,1.0
1,231,1.0,4.0,4.0,1.0,0.604420282187169,1.0
1,232,0.75,3.0,4.0,1.0,0.5378222103969109,1.0
1,233,1.0,4.0,4.0,1.0,0.5723723317579225,1.0
1,234,0.25,1.0,4.0,1.0,0.5413147207834116,1.0
