time,event_types,replanning_count,destroyed_target_ids,disappeared_target_ids,damaged_uav_ids,available_target_count,available_uav_count,completed_cluster_count,total_cluster_count,metadata
30.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [3.934372595081833, -137600.00006789243], 1: [2.5141957181922376, -137600.00005514396], 2: [6.897197195870121, -137600.0000022629]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
60.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [3.368745190163666, -135200.00013578482], 1: [3.0283914363844753, -135200.00011028792], 2: [6.7943943917402425, -135200.00000452582]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
90.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [2.803117785245499, -132800.00020367722], 1: [3.5425871545767125, -132800.00016543188], 2: [6.691591587610364, -132800.00000678873]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
120.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [2.237490380327332, -130400.00027156965], 1: [4.0567828727689506, -130400.00022057584], 2: [6.588788783480485, -130400.00000905164]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
150.0,['target_disappeared'],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {0: [1.671862975409165, -128000.00033946204], 2: [6.485985979350606, -128000.00001131457], 1: [4.570978590961188, -128000.00027571981]}, 'uav_status_counts': {'assigned': 6, 'available': 35}}"
180.0,[],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {0: [1.1062355704909979, -125600.00040735444], 2: [4.5040614290377325, -125600.00027671386], 1: [6.908100651243296, -125600.00004849679]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
210.0,['attack_uav_destroyed'],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {0: [0.5406081655728308, -123200.00047524685], 2: [4.437144267114278, -123200.00027770792], 1: [7.330215323135986, -123200.00008567901]}, 'uav_status_counts': {'assigned': 6, 'available': 34, 'damaged': 1}}"
240.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {0: [-0.025019239345336564, -120800.00054313926], 2: [4.370227105190823, -120800.00027870198], 1: [7.752329995028676, -120800.00012286124]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
270.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {0: [-0.5906466442635039, -118400.00061103166], 2: [4.303309943267369, -118400.00027969603], 1: [8.174444666921366, -118400.00016004346]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
300.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {0: [-1.1562740491816712, -116000.00067892406], 2: [4.236392781343914, -116000.00028069009], 1: [8.596559338814055, -116000.00019722569]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
