time,uav_id,status,assigned_cluster_id,x,y,is_damaged
30.0,1,en_route,0,8.357241589524778,-137600.0000860705,False
30.0,2,en_route,1,3.497055861705048,-137600.00005147178,False
30.0,3,en_route,2,7.880063395212372,-137600.00000299682,False
30.0,4,available,,10.0,-140000.0,False
30.0,5,available,,5.0,-140000.0,False
30.0,6,available,,4.0,-140000.0,False
30.0,7,available,,4.0,-140000.0,False
30.0,8,available,,4.0,-140000.0,False
30.0,9,available,,4.0,-140000.0,False
30.0,10,available,,4.0,-140000.0,False
30.0,11,available,,4.0,-140000.0,False
30.0,12,en_route,0,-0.4884963993611116,-137600.00004971432,False
30.0,13,en_route,1,1.5313355746794275,-137600.00005881613,False
30.0,14,en_route,2,5.9143309965278705,-137600.000001529,False
30.0,15,available,,8.0,-140000.0,False
30.0,16,available,,2.0,-140000.0,False
30.0,17,available,,7.0,-140000.0,False
30.0,18,available,,7.0,-140000.0,False
30.0,19,available,,7.0,-140000.0,False
30.0,20,available,,7.0,-140000.0,False
30.0,21,available,,7.0,-140000.0,False
30.0,22,available,,7.0,-140000.0,False
30.0,23,available,,7.0,-140000.0,False
30.0,24,available,,7.0,-140000.0,False
30.0,25,available,,7.0,-140000.0,False
30.0,26,available,,7.0,-140000.0,False
30.0,27,available,,7.0,-140000.0,False
30.0,28,available,,7.0,-140000.0,False
30.0,29,available,,7.0,-140000.0,False
30.0,30,available,,7.0,-140000.0,False
30.0,31,available,,7.0,-140000.0,False
30.0,32,available,,7.0,-140000.0,False
30.0,33,available,,7.0,-140000.0,False
30.0,34,available,,7.0,-140000.0,False
30.0,35,available,,7.0,-140000.0,False
30.0,36,available,,7.0,-140000.0,False
30.0,37,available,,7.0,-140000.0,False
30.0,38,available,,7.0,-140000.0,False
30.0,39,available,,7.0,-140000.0,False
30.0,40,available,,7.0,-140000.0,False
30.0,41,available,,7.0,-140000.0,False
60.0,1,en_route,0,7.714483179049555,-135200.000172141,False
60.0,2,en_route,1,3.9941117234100956,-135200.00010294357,False
60.0,3,en_route,2,7.760126790424744,-135200.00000599364,False
60.0,4,available,,10.0,-140000.0,False
60.0,5,available,,5.0,-140000.0,False
60.0,6,available,,4.0,-140000.0,False
60.0,7,available,,4.0,-140000.0,False
60.0,8,available,,4.0,-140000.0,False
60.0,9,available,,4.0,-140000.0,False
60.0,10,available,,4.0,-140000.0,False
60.0,11,available,,4.0,-140000.0,False
60.0,12,en_route,0,-0.9769927987222232,-135200.00009942864,False
60.0,13,en_route,1,2.062671149358855,-135200.00011763227,False
60.0,14,en_route,2,5.828661993055741,-135200.000003058,False
60.0,15,available,,8.0,-140000.0,False
60.0,16,available,,2.0,-140000.0,False
60.0,17,available,,7.0,-140000.0,False
60.0,18,available,,7.0,-140000.0,False
60.0,19,available,,7.0,-140000.0,False
60.0,20,available,,7.0,-140000.0,False
60.0,21,available,,7.0,-140000.0,False
60.0,22,available,,7.0,-140000.0,False
60.0,23,available,,7.0,-140000.0,False
60.0,24,available,,7.0,-140000.0,False
60.0,25,available,,7.0,-140000.0,False
60.0,26,available,,7.0,-140000.0,False
60.0,27,available,,7.0,-140000.0,False
60.0,28,available,,7.0,-140000.0,False
60.0,29,available,,7.0,-140000.0,False
60.0,30,available,,7.0,-140000.0,False
60.0,31,available,,7.0,-140000.0,False
60.0,32,available,,7.0,-140000.0,False
60.0,33,available,,7.0,-140000.0,False
60.0,34,available,,7.0,-140000.0,False
60.0,35,available,,7.0,-140000.0,False
60.0,36,available,,7.0,-140000.0,False
60.0,37,available,,7.0,-140000.0,False
60.0,38,available,,7.0,-140000.0,False
60.0,39,available,,7.0,-140000.0,False
60.0,40,available,,7.0,-140000.0,False
60.0,41,available,,7.0,-140000.0,False
90.0,1,en_route,0,7.071724768574333,-132800.0002582115,False
90.0,2,en_route,1,4.491167585115143,-132800.00015441535,False
90.0,3,en_route,2,7.640190185637116,-132800.00000899046,False
90.0,4,available,,10.0,-140000.0,False
90.0,5,available,,5.0,-140000.0,False
90.0,6,available,,4.0,-140000.0,False
90.0,7,available,,4.0,-140000.0,False
90.0,8,available,,4.0,-140000.0,False
90.0,9,available,,4.0,-140000.0,False
90.0,10,available,,4.0,-140000.0,False
90.0,11,available,,4.0,-140000.0,False
90.0,12,en_route,0,-1.4654891980833349,-132800.00014914296,False
90.0,13,en_route,1,2.5940067240382825,-132800.0001764484,False
90.0,14,en_route,2,5.742992989583612,-132800.000004587,False
90.0,15,available,,8.0,-140000.0,False
90.0,16,available,,2.0,-140000.0,False
90.0,17,available,,7.0,-140000.0,False
90.0,18,available,,7.0,-140000.0,False
90.0,19,available,,7.0,-140000.0,False
90.0,20,available,,7.0,-140000.0,False
90.0,21,available,,7.0,-140000.0,False
90.0,22,available,,7.0,-140000.0,False
90.0,23,available,,7.0,-140000.0,False
90.0,24,available,,7.0,-140000.0,False
90.0,25,available,,7.0,-140000.0,False
90.0,26,available,,7.0,-140000.0,False
90.0,27,available,,7.0,-140000.0,False
90.0,28,available,,7.0,-140000.0,False
90.0,29,available,,7.0,-140000.0,False
90.0,30,available,,7.0,-140000.0,False
90.0,31,available,,7.0,-140000.0,False
90.0,32,available,,7.0,-140000.0,False
90.0,33,available,,7.0,-140000.0,False
90.0,34,available,,7.0,-140000.0,False
90.0,35,available,,7.0,-140000.0,False
90.0,36,available,,7.0,-140000.0,False
90.0,37,available,,7.0,-140000.0,False
90.0,38,available,,7.0,-140000.0,False
90.0,39,available,,7.0,-140000.0,False
90.0,40,available,,7.0,-140000.0,False
90.0,41,available,,7.0,-140000.0,False
120.0,1,en_route,0,6.42896635809911,-130400.000344282,False
120.0,2,en_route,1,4.98822344682019,-130400.00020588713,False
120.0,3,en_route,2,7.520253580849488,-130400.0000119873,False
120.0,4,available,,10.0,-140000.0,False
120.0,5,available,,5.0,-140000.0,False
120.0,6,available,,4.0,-140000.0,False
120.0,7,available,,4.0,-140000.0,False
120.0,8,available,,4.0,-140000.0,False
120.0,9,available,,4.0,-140000.0,False
120.0,10,available,,4.0,-140000.0,False
120.0,11,available,,4.0,-140000.0,False
120.0,12,en_route,0,-1.9539855974444464,-130400.00019885728,False
120.0,13,en_route,1,3.12534229871771,-130400.00023526455,False
120.0,14,en_route,2,5.657323986111482,-130400.000006116,False
120.0,15,available,,8.0,-140000.0,False
120.0,16,available,,2.0,-140000.0,False
120.0,17,available,,7.0,-140000.0,False
120.0,18,available,,7.0,-140000.0,False
