time,event_types,replanning_count,destroyed_target_ids,disappeared_target_ids,damaged_uav_ids,available_target_count,available_uav_count,completed_cluster_count,total_cluster_count,metadata
30.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [3.5846577829615636, -137600.00001415153], 1: [3.857246945088049, -137600.00008620677], 0: [8.43709913997898, -137600.00003980327]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
60.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [3.8359822325897937, -135200.0000283031], 1: [3.214493890176098, -135200.00017241354], 0: [8.874198279957959, -135200.00007960654]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
90.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [4.087306682218023, -132800.00004245463], 1: [2.5717408352641478, -132800.0002586203], 0: [9.311297419936938, -132800.00011940981]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
120.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 1: 'en_route', 0: 'en_route'}, 'cluster_positions': {2: [4.338631131846253, -130400.00005660618], 1: [1.9289877803521969, -130400.00034482707], 0: [9.748396559915918, -130400.00015921307]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
150.0,['target_disappeared'],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [1.2862347254402464, -128000.00043103386], 0: [10.185495699894897, -128000.00019901633], 2: [4.5899555814744835, -128000.0000707577]}, 'uav_status_counts': {'assigned': 6, 'available': 35}}"
180.0,[],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [4.931979581071855, -125600.00017258772], 0: [1.7914899225850445, -125600.00031908342], 2: [6.319993836577287, -125600.00033542569]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
210.0,['attack_uav_destroyed'],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [4.207295501398898, -123200.00028323698], 0: [2.3973174700945776, -123200.00039566566], 2: [6.218397761375477, -123200.00033861249]}, 'uav_status_counts': {'assigned': 6, 'available': 34, 'damaged': 1}}"
240.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [3.4826114217259403, -120800.00039388624], 0: [3.003145017604111, -120800.00047224789], 2: [6.116801686173668, -120800.00034179928]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
270.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [2.7579273420529833, -118400.00050453549], 0: [3.608972565113644, -118400.00054883012], 2: [6.015205610971858, -118400.00034498607]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
300.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [2.0332432623800263, -116000.00061518475], 0: [4.214800112623177, -116000.00062541236], 2: [5.913609535770048, -116000.00034817285]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
330.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [1.3085591827070695, -113600.000725834], 0: [4.820627660132711, -113600.00070199459], 2: [5.812013460568238, -113600.00035135965]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
360.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [0.5838751030341127, -111200.00083648326], 0: [5.426455207642244, -111200.00077857682], 2: [5.710417385366428, -111200.00035454644]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
390.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-0.14080897663884429, -108800.00094713252], 0: [6.032282755151778, -108800.00085515906], 2: [5.608821310164619, -108800.00035773322]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
420.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-0.8654930563118013, -106400.00105778177], 0: [6.63811030266131, -106400.00093174129], 2: [5.507225234962809, -106400.00036092]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
450.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-1.5901771359847583, -104000.00116843103], 0: [7.243937850170844, -104000.00100832352], 2: [5.405629159760999, -104000.0003641068]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
480.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-2.3148612156577153, -101600.00127908029], 0: [7.849765397680377, -101600.00108490576], 2: [5.30403308455919, -101600.0003672936]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
510.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-3.0395452953306723, -99200.00138972954], 0: [8.45559294518991, -99200.00116148799], 2: [5.20243700935738, -99200.00037048038]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
540.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-3.764229375003629, -96800.0015003788], 0: [9.061420492699442, -96800.00123807022], 2: [5.1008409341555705, -96800.00037366716]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
570.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-4.488913454676585, -94400.00161102806], 0: [9.667248040208975, -94400.00131465246], 2: [4.99924485895376, -94400.00037685396]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
600.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-5.213597534349542, -92000.00172167731], 0: [10.273075587718507, -92000.00139123469], 2: [4.89764878375195, -92000.00038004076]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
630.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-5.9382816140224985, -89600.00183232657], 0: [10.87890313522804, -89600.00146781692], 2: [4.79605270855014, -89600.00038322754]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
660.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-6.662965693695455, -87200.00194297582], 0: [11.484730682737572, -87200.00154439916], 2: [4.694456633348329, -87200.00038641432]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
690.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-7.387649773368411, -84800.00205362508], 0: [12.090558230247105, -84800.00162098139], 2: [4.592860558146519, -84800.00038960112]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
720.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-8.112333853041367, -82400.00216427434], 0: [12.696385777756637, -82400.00169756362], 2: [4.491264482944709, -82400.00039278792]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
750.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-8.837017932714325, -80000.0022749236], 0: [13.30221332526617, -80000.00177414586], 2: [4.389668407742899, -80000.0003959747]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
780.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-9.56170201238728, -77600.00238557285], 0: [13.908040872775702, -77600.00185072809], 2: [4.288072332541089, -77600.00039916148]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
810.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-10.286386092060237, -75200.0024962221], 0: [14.513868420285235, -75200.00192731032], 2: [4.186476257339279, -75200.00040234828]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
840.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-11.011070171733191, -72800.00260687136], 0: [15.119695967794767, -72800.00200389256], 2: [4.084880182137469, -72800.00040553507]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
870.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-11.73575425140615, -70400.00271752062], 0: [15.7255235153043, -70400.00208047479], 2: [3.983284106935659, -70400.00040872185]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
900.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-12.460438331079104, -68000.00282816988], 0: [16.33135106281383, -68000.00215705702], 2: [3.881688031733849, -68000.00041190864]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
930.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-13.185122410752061, -65600.00293881913], 0: [16.937178610323365, -65600.00223363926], 2: [3.780091956532039, -65600.00041509543]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
960.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-13.909806490425016, -63200.00304946838], 0: [17.5430061578329, -63200.00231022149], 2: [3.678495881330229, -63200.00041828223]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
990.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-14.634490570097974, -60800.00316011763], 0: [18.14883370534243, -60800.002386803724], 2: [3.5768998061284187, -60800.00042146902]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1020.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-15.359174649770928, -58400.00327076688], 0: [18.75466125285196, -58400.00246338596], 2: [3.475303730926609, -58400.00042465581]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1050.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-16.083858729443886, -56000.00338141613], 0: [19.360488800361495, -56000.00253996819], 2: [3.373707655724799, -56000.0004278426]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1080.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-16.80854280911684, -53600.00349206538], 0: [19.96631634787103, -53600.002616550424], 2: [3.2721115805229886, -53600.00043102939]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1110.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-17.533226888789798, -51200.00360271463], 0: [20.57214389538056, -51200.00269313266], 2: [3.1705155053211787, -51200.000434216185]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1140.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-18.257910968462753, -48800.003713363876], 0: [21.17797144289009, -48800.00276971489], 2: [3.0689194301193687, -48800.000437402974]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1170.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-18.982595048135707, -46400.003824013125], 0: [21.783798990399625, -46400.002846297124], 2: [2.967323354917559, -46400.00044058976]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1200.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-19.707279127808665, -44000.003934662374], 0: [22.38962653790916, -44000.00292287936], 2: [2.865727279715749, -44000.00044377656]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1230.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-20.431963207481623, -41600.00404531162], 0: [22.99545408541869, -41600.00299946159], 2: [2.764131204513939, -41600.00044696336]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1260.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-21.156647287154577, -39200.00415596087], 0: [23.60128163292822, -39200.003076043824], 2: [2.662535129312129, -39200.000450150146]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
1290.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [-21.88133136682753, -36800.00426661012], 0: [24.207109180437755, -36800.00315262606], 2: [2.560939054110319, -36800.000453336936]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
