time,uav_id,status,assigned_cluster_id,x,y,is_damaged
30.0,1,en_route,0,9.394216721040548,-137600.0000323764,False
30.0,2,en_route,1,2.4600829295003788,-137600.00006073134,False
30.0,3,en_route,2,7.880063395212372,-137600.00000299682,False
30.0,4,available,,10.0,-140000.0,False
30.0,5,available,,5.0,-140000.0,False
30.0,6,available,,4.0,-140000.0,False
30.0,7,available,,4.0,-140000.0,False
30.0,8,available,,4.0,-140000.0,False
30.0,9,available,,4.0,-140000.0,False
30.0,10,available,,4.0,-140000.0,False
30.0,11,available,,4.0,-140000.0,False
30.0,12,en_route,0,0.5484754310459811,-137600.00006267193,False
30.0,13,en_route,1,0.49436337684780807,-137600.00005326426,False
30.0,14,en_route,2,5.9143309965278705,-137600.000001529,False
30.0,15,available,,8.0,-140000.0,False
30.0,16,available,,2.0,-140000.0,False
30.0,17,available,,7.0,-140000.0,False
30.0,18,available,,7.0,-140000.0,False
30.0,19,available,,7.0,-140000.0,False
30.0,20,available,,7.0,-140000.0,False
30.0,21,available,,7.0,-140000.0,False
30.0,22,available,,7.0,-140000.0,False
30.0,23,available,,7.0,-140000.0,False
30.0,24,available,,7.0,-140000.0,False
30.0,25,available,,7.0,-140000.0,False
30.0,26,available,,7.0,-140000.0,False
30.0,27,available,,7.0,-140000.0,False
30.0,28,available,,7.0,-140000.0,False
30.0,29,available,,7.0,-140000.0,False
30.0,30,available,,7.0,-140000.0,False
30.0,31,available,,7.0,-140000.0,False
30.0,32,available,,7.0,-140000.0,False
30.0,33,available,,7.0,-140000.0,False
30.0,34,available,,7.0,-140000.0,False
30.0,35,available,,7.0,-140000.0,False
30.0,36,available,,7.0,-140000.0,False
30.0,37,available,,7.0,-140000.0,False
30.0,38,available,,7.0,-140000.0,False
30.0,39,available,,7.0,-140000.0,False
30.0,40,available,,7.0,-140000.0,False
30.0,41,available,,7.0,-140000.0,False
60.0,1,en_route,0,9.788433442081097,-135200.00006475282,False
60.0,2,en_route,1,1.9201658590007575,-135200.00012146268,False
60.0,3,en_route,2,7.760126790424744,-135200.00000599364,False
60.0,4,available,,10.0,-140000.0,False
