time,event_types,replanning_count,destroyed_target_ids,disappeared_target_ids,damaged_uav_ids,available_target_count,available_uav_count,completed_cluster_count,total_cluster_count,metadata
30.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [3.8589600013615892, -137600.0000585519], 0: [3.857246945088049, -137600.00008620677], 1: [7.880063395212372, -137600.00000299682]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
60.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [4.384586669389846, -135200.00011710383], 0: [3.214493890176098, -135200.00017241354], 1: [7.760126790424744, -135200.00000599364]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
90.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [4.910213337418102, -132800.00017565573], 0: [2.5717408352641478, -132800.0002586203], 1: [7.640190185637116, -132800.00000899046]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
120.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [5.435840005446359, -130400.00023420765], 0: [1.9289877803521969, -130400.00034482707], 1: [7.520253580849488, -130400.0000119873]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
150.0,['target_disappeared'],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [1.2862347254402464, -128000.00043103386], 1: [7.40031697606186, -128000.00001498414], 2: [5.9614666734746145, -128000.00029275955]}, 'uav_status_counts': {'assigned': 6, 'available': 35}}"
180.0,[],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [6.27775511933697, -125600.00039106155], 1: [1.8551125545627323, -125600.00036526687], 2: [5.562773393590373, -125600.00029999155]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
210.0,['attack_uav_destroyed'],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [5.527360228471104, -123200.00050961188], 1: [1.838782445507781, -123200.00036560251], 2: [6.096546237318167, -123200.00035976028]}, 'uav_status_counts': {'assigned': 6, 'available': 34, 'damaged': 1}}"
240.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [4.776965337605238, -120800.00062816222], 1: [1.8224523364528298, -120800.00036593815], 2: [6.630319081045963, -120800.00041952901]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
270.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [4.026570446739371, -118400.00074671255], 1: [1.8061222273978785, -118400.0003662738], 2: [7.164091924773757, -118400.00047929774]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
300.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [3.2761755558735053, -116000.00086526289], 1: [1.7897921183429273, -116000.00036660946], 2: [7.697864768501553, -116000.00053906647]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
330.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [2.525780665007639, -113600.00098381322], 1: [1.7734620092879763, -113600.0003669451], 2: [8.231637612229347, -113600.0005988352]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
360.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [1.7753857741417727, -111200.00110236356], 1: [1.757131900233025, -111200.00036728074], 2: [8.765410455957142, -111200.00065860394]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
390.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [1.0249908832759065, -108800.0012209139], 1: [1.7408017911780738, -108800.00036761639], 2: [9.299183299684938, -108800.00071837267]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
420.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {0: [0.27459599241004007, -106400.00133946423], 1: [1.7244716821231225, -106400.00036795205], 2: [9.832956143412733, -106400.0007781414]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
