time,event_types,replanning_count,destroyed_target_ids,disappeared_target_ids,damaged_uav_ids,available_target_count,available_uav_count,completed_cluster_count,total_cluster_count,metadata
30.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [3.8589600013615892, -137600.0000585519], 0: [3.857246945088049, -137600.00008620677], 1: [7.880063395212372, -137600.00000299682]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
60.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [4.384586669389846, -135200.00011710383], 0: [3.214493890176098, -135200.00017241354], 1: [7.760126790424744, -135200.00000599364]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
90.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [4.910213337418102, -132800.00017565573], 0: [2.5717408352641478, -132800.0002586203], 1: [7.640190185637116, -132800.00000899046]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
120.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [5.435840005446359, -130400.00023420765], 0: [1.9289877803521969, -130400.00034482707], 1: [7.520253580849488, -130400.0000119873]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
150.0,['target_disappeared'],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [7.40031697606186, -128000.00001498414], 0: [1.2862347254402464, -128000.00043103386], 2: [5.9614666734746145, -128000.00029275955]}, 'uav_status_counts': {'assigned': 6, 'available': 35}}"
180.0,[],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [6.27775511933697, -125600.00039106155], 0: [2.4644132375101986, -125600.0004384645], 2: [4.953500438194439, -125600.00024182175]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
210.0,['attack_uav_destroyed'],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [5.527360228471104, -123200.00050961188], 0: [3.057383811402714, -123200.00051199779], 2: [4.8780003265263, -123200.00024342068]}, 'uav_status_counts': {'assigned': 6, 'available': 34, 'damaged': 1}}"
240.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [4.776965337605238, -120800.00062816222], 0: [3.6503543852952296, -120800.00058553107], 2: [4.802500214858162, -120800.00024501962]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
270.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [4.026570446739371, -118400.00074671255], 0: [4.243324959187745, -118400.00065906436], 2: [4.727000103190022, -118400.00024661855]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
300.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [3.2761755558735053, -116000.00086526289], 0: [4.836295533080261, -116000.00073259765], 2: [4.6514999915218835, -116000.00024821749]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
330.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [2.525780665007639, -113600.00098381322], 0: [5.429266106972776, -113600.00080613093], 2: [4.575999879853745, -113600.00024981642]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
360.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [1.7753857741417727, -111200.00110236356], 0: [6.022236680865291, -111200.00087966422], 2: [4.500499768185605, -111200.00025141536]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
390.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [1.0249908832759065, -108800.0012209139], 0: [6.615207254757807, -108800.00095319751], 2: [4.424999656517467, -108800.0002530143]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
420.0,[],2,[],[3],[11],19,40,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [0.27459599241004007, -106400.00133946423], 0: [7.208177828650323, -106400.0010267308], 2: [4.349499544849328, -106400.00025461323]}, 'uav_status_counts': {'en_route': 6, 'available': 34, 'damaged': 1}}"
