target_id,target_type,x,y,defense,significance,score,normalized_distance,angle,adjusted_defense,adjusted_significance,is_destroy_target
1,2,-388.0,1090.0,3.0,2.0,0.6139319442666408,0.47910148518850726,-0.341977429174838,3.0,2.0,1
2,2,-479.0,999.0,4.0,2.0,0.6307644048218543,0.45859592163112545,-0.4470968394209415,4.0,2.0,1
3,2,156.0,6.0,3.0,2.0,0.8773030311442909,0.06108752301120497,1.5323537367737086,3.0,2.0,1
4,2,724.0,665.0,3.0,2.0,0.6879590652392595,0.406455881468301,0.8278492465869752,3.0,2.0,1
5,2,982.0,-594.0,4.0,2.0,0.7968320857554492,0.4752082254247975,2.114802183476762,4.0,2.0,1
6,2,885.0,-386.0,3.0,2.0,0.8091270712433984,0.39912994588808137,1.9820799748945497,3.0,2.0,1
7,2,1138.0,-1322.0,1.0,2.0,0.7507166599264674,0.7244029457498905,2.4308522197071416,1.0,2.0,1
8,2,-1871.0,1048.0,2.0,2.0,0.5555614589312449,0.891533516562854,-1.060210359753364,2.0,2.0,1
9,2,-943.0,735.0,4.0,2.0,0.6661694981041402,0.49522605672985154,-0.9087261630001091,4.0,2.0,1
10,2,-405.0,-1017.0,2.0,2.0,0.8723645321924255,0.45307276153301657,-2.7626129928484904,2.0,2.0,1
11,2,640.0,-1411.0,4.0,2.0,0.8037959000570035,0.6429703520306447,2.7157663995414962,4.0,2.0,1
12,2,1453.0,1077.0,4.0,2.0,0.5855053537740738,0.7512521370309112,0.9329348795409858,4.0,2.0,1
13,2,-1413.0,93.0,2.0,2.0,0.6989353436217719,0.5872964342077215,-1.5050737096044875,2.0,2.0,1
14,2,-1942.0,149.0,3.0,2.0,0.6254379382410498,0.8093377838446512,-1.4942213246739822,3.0,2.0,1
15,2,491.0,-1114.0,4.0,2.0,0.8501588862254333,0.5043306118589183,2.726454219135893,4.0,2.0,1
16,2,-1794.0,-1253.0,1.0,2.0,0.6659643181043653,0.9097998593999549,-2.180474034295777,1.0,2.0,1
17,2,1167.0,-262.0,2.0,2.0,0.758515037701745,0.49541098576977227,1.7916417451548936,2.0,2.0,1
18,2,-1575.0,-1288.0,3.0,2.0,0.6922949029804641,0.8456250927657547,-2.2562837655684143,3.0,2.0,1
19,2,-647.0,239.0,2.0,2.0,0.7697881654994294,0.2839499907495655,-1.2169467096219386,2.0,2.0,1
20,2,330.0,1120.0,2.0,2.0,0.6076015519540809,0.4835312601665089,0.2865347669575948,2.0,2.0,1
21,2,-687.0,658.0,1.0,2.0,0.6919819000771619,0.39318423759039134,-0.8069561613928266,1.0,2.0,1
22,2,523.0,1349.0,4.0,2.0,0.5763872785864372,0.6001504206155608,0.36985346218029697,4.0,2.0,1
23,2,-330.0,-108.0,1.0,2.0,0.8881633531846307,0.1409028688479984,-1.887082454707051,1.0,2.0,1
24,2,297.0,-853.0,3.0,2.0,0.9025997745374172,0.373115029419914,2.8065375621350532,3.0,2.0,1
25,2,-1945.0,-1188.0,4.0,2.0,0.6452091128804658,0.947748895547928,-2.1191169343744223,4.0,2.0,1
26,2,-1743.0,-712.0,3.0,2.0,0.681851110226317,0.7822357522306207,-1.958601124469192,3.0,2.0,1
27,2,-1957.0,-822.0,2.0,2.0,0.6518777858019011,0.8823908358016295,-1.968450379891834,2.0,2.0,1
28,2,1959.0,-707.0,1.0,2.0,0.6528037853708443,0.8657057682413051,1.917147020874163,1.0,2.0,1
29,2,1655.0,-992.0,1.0,2.0,0.6930385642788026,0.8017463041453486,2.1107714221529537,1.0,2.0,1
30,2,1135.0,-282.0,4.0,2.0,0.7629161210409053,0.4843263029486686,1.8143233111405912,4.0,2.0,1
31,2,-1368.0,-1439.0,4.0,2.0,0.7109380338131747,0.8251147316597129,-2.3814830061550896,4.0,2.0,1
32,2,-1494.0,-625.0,4.0,2.0,0.717299077154503,0.6722480044888999,-1.9670124205930994,4.0,2.0,1
33,2,37.0,-400.0,1.0,2.0,0.9999570360743315,0.16365799983765497,3.049355125146667,1.0,2.0,1
34,2,445.0,-217.0,1.0,2.0,0.8812658037604607,0.20265868109500834,2.0245074967918395,1.0,2.0,1
35,2,483.0,-925.0,3.0,2.0,0.8680877689686004,0.4317039882483609,2.660372914317644,3.0,2.0,1
36,2,812.0,93.0,4.0,2.0,0.7749897926224829,0.33723175113877235,1.4567611965662317,4.0,2.0,1
37,2,1050.0,746.0,1.0,2.0,0.6605596233406167,0.5338256070682241,0.9530739112449736,1.0,2.0,1
38,2,-657.0,74.0,4.0,2.0,0.7970869152887813,0.2720147135827399,-1.458635849696387,4.0,2.0,1
39,2,365.0,176.0,1.0,2.0,0.8011434798949619,0.1651237767017556,1.1214965190417223,1.0,2.0,1
40,2,73.0,-189.0,1.0,2.0,1.0,0.08050496564782904,2.773001386277181,1.0,2.0,1
41,1,-695.0,1146.0,4.0,1.0,0.09460570189655844,0.555646958145037,-0.5451539498608287,4.0,1.0,0
42,1,1916.0,928.0,4.0,1.0,0.047825001984572214,0.8850143750243664,1.1197530922817422,4.0,1.0,0
43,1,18.0,-1191.0,3.0,1.0,0.3813314768409543,0.49335913586966257,3.126480454003161,3.0,1.0,1
44,1,1021.0,637.0,4.0,1.0,0.16148396974940293,0.49848780411897103,1.0129897532917889,4.0,1.0,0
45,1,-838.0,1378.0,2.0,1.0,0.05930657516138442,0.669465695588434,-0.5463743426861168,2.0,1.0,0
46,1,-676.0,367.0,3.0,1.0,0.22870177648552953,0.31713851669925536,-1.073420965914413,3.0,1.0,0
47,1,-684.0,-198.0,2.0,1.0,0.3176952773835438,0.29328420823818635,-1.8525681940682488,2.0,1.0,0
48,1,1524.0,-1454.0,4.0,1.0,0.17557541214522118,0.8755922233292954,2.332693109340183,4.0,1.0,0
49,1,1160.0,279.0,2.0,1.0,0.1975878336979789,0.49417122824922916,1.3347623326162408,2.0,1.0,0
50,1,1934.0,-1021.0,3.0,1.0,0.13728814088836422,0.9092607172900766,2.0565307506132187,3.0,1.0,0
51,1,695.0,1276.0,1.0,1.0,0.07697953911153314,0.6027242736873485,0.49874252533488833,1.0,1.0,0
52,1,670.0,804.0,2.0,1.0,0.15195991784340998,0.43298325068504206,0.6947382761967031,2.0,1.0,0
53,1,945.0,719.0,1.0,1.0,0.15666542300758432,0.4918106325707313,0.9203894830772613,1.0,1.0,0
54,1,-1124.0,-326.0,2.0,1.0,0.2540374746329501,0.4846659769437401,-1.853086574945398,2.0,1.0,0
55,1,1023.0,777.0,3.0,1.0,0.14165306216355486,0.5324038295163849,0.9212233636154348,3.0,1.0,0
56,1,258.0,-1320.0,3.0,1.0,0.3419469450418847,0.557610250329541,2.948571519030637,3.0,1.0,0
57,1,132.0,-735.0,4.0,1.0,0.4255650939014628,0.30776712352276236,2.9638950972769456,4.0,1.0,1
58,1,-1767.0,-1187.0,3.0,1.0,0.15585122658769526,0.8849180461995009,-2.162316831139764,3.0,1.0,0
59,1,-1410.0,1269.0,4.0,1.0,0.04960225906613507,0.7881436850750879,-0.83798122500839,4.0,1.0,0
60,1,1418.0,1030.0,2.0,1.0,0.0812507520284956,0.7278540368043417,0.9425873379040203,2.0,1.0,0
61,1,-659.0,535.0,3.0,1.0,0.19858297106287368,0.35039504056380044,-0.8888797947572606,3.0,1.0,0
62,1,-998.0,839.0,4.0,1.0,0.13318600424845417,0.5404176256687355,-0.8717371504537977,4.0,1.0,0
63,1,-1958.0,454.0,2.0,1.0,0.08810646948957464,0.8353310498416999,-1.3429533263758446,2.0,1.0,0
64,1,1438.0,-140.0,3.0,1.0,0.19659805406788378,0.5993002918430516,1.6678479053711137,3.0,1.0,0
65,1,1225.0,311.0,4.0,1.0,0.18499228949567745,0.5237326185790053,1.3221715466456723,4.0,1.0,0
66,1,1052.0,40.0,2.0,1.0,0.23731230155139402,0.43556710788765474,1.5327918208578328,2.0,1.0,0
67,1,543.0,-493.0,3.0,1.0,0.36071327505779543,0.3021941892090796,2.307969361872877,3.0,1.0,1
68,1,351.0,-524.0,3.0,1.0,0.40019859703202654,0.25929380047217165,2.5513912848960585,3.0,1.0,1
69,1,-947.0,-646.0,4.0,1.0,0.28829797652545713,0.47465568059680735,-2.1694445480115183,4.0,1.0,0
70,1,-1716.0,-1254.0,2.0,1.0,0.1611907330570688,0.8835351362678711,-2.201875714266226,2.0,1.0,0
71,1,-792.0,1294.0,4.0,1.0,0.0709584221793775,0.6295113021712818,-0.5492368164154925,4.0,1.0,0
72,1,-159.0,1265.0,4.0,1.0,0.06032598986281545,0.5283650533151192,-0.1250359945387734,4.0,1.0,0
73,1,49.0,-1443.0,4.0,1.0,0.34408833342582307,0.5988963283868969,3.1076486623377053,4.0,1.0,0
74,1,1465.0,-1328.0,4.0,1.0,0.19004135168774497,0.8217067987298263,2.307182573463452,4.0,1.0,0
75,1,-1044.0,-526.0,1.0,1.0,0.27411273869794467,0.48412324254556,-2.0375043700050743,1.0,1.0,0
76,1,220.0,1091.0,3.0,1.0,0.09095562455774212,0.46070947942292817,0.19898146160402094,3.0,1.0,0
77,1,1535.0,-1411.0,2.0,1.0,0.17807207086421925,0.8666693984502384,2.314128349815647,2.0,1.0,0
78,1,1375.0,-1125.0,2.0,1.0,0.21319706639785166,0.7378687063776342,2.256525837701183,2.0,1.0,0
79,1,-743.0,783.0,2.0,1.0,0.15404838864093515,0.4466996132679208,-0.7591918445035704,2.0,1.0,0
80,1,-676.0,868.0,2.0,1.0,0.14114933345513322,0.4553725295701237,-0.6616809238662626,2.0,1.0,0
81,1,-1890.0,-1486.0,1.0,1.0,0.12916200040629766,1.0,-2.2370926211169775,1.0,1.0,0
82,1,975.0,825.0,2.0,1.0,0.13808309348318848,0.5293050248122076,0.8685393952858895,2.0,1.0,0
83,1,-1793.0,63.0,2.0,1.0,0.13669750171961656,0.7451869655694894,-1.5356741333027648,2.0,1.0,0
84,1,1693.0,590.0,1.0,1.0,0.10690829470423725,0.744666621434773,1.2354639651434345,1.0,1.0,0
85,1,1760.0,715.0,4.0,1.0,0.08492644429307177,0.7892837624681249,1.1849136573968229,4.0,1.0,0
86,1,-123.0,-1341.0,3.0,1.0,0.3521679948093358,0.558300117680265,-3.050125989637909,3.0,1.0,0
87,1,-457.0,850.0,4.0,1.0,0.14095657137840983,0.3989413047807684,-0.4933097457317676,4.0,1.0,0
88,1,641.0,1080.0,4.0,1.0,0.1051754970866201,0.5204068833151198,0.5356400746937726,4.0,1.0,0
89,1,-390.0,-130.0,2.0,1.0,0.3643596052692915,0.16757905971605963,-1.892546881191539,2.0,1.0,1
90,1,829.0,1168.0,1.0,1.0,0.09198539239294669,0.5940774972326301,0.6172464920068237,1.0,1.0,0
91,1,-970.0,-1329.0,3.0,1.0,0.25619058822975094,0.683054993332703,-2.511098348340695,3.0,1.0,0
92,1,-1402.0,327.0,2.0,1.0,0.16457965373822786,0.597141281621639,-1.341654587208608,2.0,1.0,0
93,1,-1637.0,-609.0,4.0,1.0,0.18173110311611132,0.725350706163964,-1.926953587482199,4.0,1.0,0
94,1,-352.0,252.0,1.0,1.0,0.2651713513021381,0.17668805629676024,-0.9494727273690818,1.0,1.0,0
95,1,-1978.0,551.0,2.0,1.0,0.07785066972567457,0.8534424378300587,-1.2991195305499872,2.0,1.0,0
96,1,1666.0,-1445.0,3.0,1.0,0.15839880393276484,0.9169421055656006,2.2852753749020946,3.0,1.0,0
97,1,1331.0,-324.0,3.0,1.0,0.22138385919690745,0.5680055228914337,1.809578185390184,3.0,1.0,0
98,1,-1311.0,1367.0,2.0,1.0,0.044014161849752764,0.786926225093972,-0.7644900828637208,2.0,1.0,0
99,1,1886.0,1125.0,1.0,1.0,0.032558803204632995,0.9130554428579883,1.0329539391321503,1.0,1.0,0
100,1,1011.0,-1489.0,4.0,1.0,0.23819201110505892,0.7475604315018496,2.5451143707419535,4.0,1.0,0
101,1,-688.0,-21.0,3.0,1.0,0.29435453603751854,0.28336052087633584,-1.6013101087123216,3.0,1.0,0
102,1,1473.0,562.0,2.0,1.0,0.13208693426810308,0.6543338690823544,1.2063093119587047,2.0,1.0,0
103,1,947.0,-525.0,1.0,1.0,0.29006729001564596,0.4481088876306151,2.076997809540495,1.0,1.0,0
104,1,-308.0,-481.0,3.0,1.0,0.41072512352062074,0.23442947022628738,-2.572043516053352,3.0,1.0,1
105,1,-1234.0,1485.0,3.0,1.0,0.030966546766721642,0.8022755650874445,-0.6933457041525918,3.0,1.0,0
106,1,330.0,-62.0,4.0,1.0,0.35951988466727086,0.13612102216579247,1.7565101750545404,4.0,1.0,1
107,1,-24.0,647.0,4.0,1.0,0.13844773142681097,0.266289081237083,-0.037077281597299984,4.0,1.0,0
108,1,1957.0,-1324.0,1.0,1.0,0.12721362158829175,0.98269930292588,2.1656071359845654,1.0,1.0,0
109,1,-768.0,707.0,4.0,1.0,0.16432808940854923,0.4318558495171532,-0.8267305425680262,4.0,1.0,0
110,1,-1097.0,1015.0,1.0,1.0,0.10481770045400433,0.6200722037283737,-0.8242044294399888,1.0,1.0,0
111,1,1392.0,391.0,4.0,1.0,0.157550158859817,0.5997483257119461,1.29696177206974,4.0,1.0,0
112,1,-354.0,1021.0,3.0,1.0,0.10928337024984186,0.4472059980738049,-0.33374880799743095,3.0,1.0,0
113,1,-1443.0,1259.0,2.0,1.0,0.05036313524004804,0.7956890439247489,-0.8533908976100976,2.0,1.0,0
114,1,-1544.0,1230.0,4.0,1.0,0.0455300260897399,0.8203355979608199,-0.8981123436956021,4.0,1.0,0
115,1,1785.0,-610.0,4.0,1.0,0.16027330368263173,0.7837130143545646,1.9000907447872792,4.0,1.0,0
116,1,916.0,951.0,1.0,1.0,0.12261626330327965,0.5473457774003061,0.7666537066399282,1.0,1.0,0
117,1,185.0,53.0,2.0,1.0,0.3338280820483108,0.07625926747451739,1.291782892036627,2.0,1.0,1
118,1,-902.0,-1299.0,4.0,1.0,0.26648607086971415,0.6563747333489349,-2.5346482708429514,4.0,1.0,0
119,1,167.0,-1169.0,2.0,1.0,0.3705349101401084,0.4890708833796958,2.999695598985629,2.0,1.0,1
120,1,982.0,-1139.0,3.0,1.0,0.26698383121044483,0.6239738248274466,2.430081427331064,3.0,1.0,0
121,1,-317.0,892.0,2.0,1.0,0.12947739518999218,0.3912521746231901,-0.3414606644966954,2.0,1.0,0
122,1,-186.0,1001.0,2.0,1.0,0.10333080970671377,0.42110567513329006,-0.18371889387673848,2.0,1.0,0
123,1,-689.0,-443.0,1.0,1.0,0.33341720563977806,0.3379915305319465,-2.142207158055077,1.0,1.0,1
124,1,-251.0,-209.0,1.0,1.0,0.41565753451674514,0.13229888710360269,-2.265142599875654,1.0,1.0,1
125,1,-762.0,1165.0,4.0,1.0,0.09104359805585646,0.577279807096857,-0.5792361415335541,4.0,1.0,0
126,1,-279.0,400.0,4.0,1.0,0.2198641036898032,0.1995679212435044,-0.609046140671088,4.0,1.0,0
127,1,365.0,-1218.0,1.0,1.0,0.3436612109369105,0.5269288204617096,2.850437177370227,1.0,1.0,0
128,1,-361.0,-501.0,1.0,1.0,0.40029922612889773,0.25378802522660976,-2.5172016250211713,1.0,1.0,1
129,1,1752.0,1485.0,2.0,1.0,0.0014232077926809425,0.9550835758612004,0.8676956430890931,2.0,1.0,0
130,1,-473.0,1337.0,4.0,1.0,0.06287833629836531,0.5881923591935053,-0.340035759778186,4.0,1.0,0
131,1,-220.0,392.0,4.0,1.0,0.2152405122991895,0.18362466098490038,-0.5114199986658374,4.0,1.0,0
132,1,-319.0,640.0,1.0,1.0,0.17519447323769352,0.29454284216266496,-0.4623968279144828,1.0,1.0,0
133,1,1760.0,1500.0,1.0,1.0,0.0,0.9616865577409992,0.864984306149388,1.0,1.0,0
134,1,1204.0,-679.0,4.0,1.0,0.24720178133855344,0.5731833476541259,2.0842892349336446,4.0,1.0,0
135,1,-1291.0,602.0,1.0,1.0,0.14625654108676622,0.5908056346224835,-1.1344660413099676,1.0,1.0,0
136,1,219.0,-86.0,1.0,1.0,0.39579787899554725,0.09415056302178319,1.9449886599551585,1.0,1.0,1
137,1,-453.0,438.0,3.0,1.0,0.22034791383206362,0.25905397562225785,-0.8022315900551015,3.0,1.0,0
138,1,275.0,-308.0,1.0,1.0,0.41853898952888186,0.16833376186057294,2.4127379271371625,1.0,1.0,1
139,1,393.0,693.0,3.0,1.0,0.167501061578308,0.32861613225354175,0.5158766256628303,3.0,1.0,0
140,1,-783.0,-387.0,1.0,1.0,0.3142782086258167,0.36066543253780603,-2.0298356734855822,1.0,1.0,0
141,1,-342.0,-1028.0,4.0,1.0,0.363949099277163,0.44836222965027756,-2.8204258702885414,4.0,1.0,1
142,1,871.0,-1435.0,1.0,1.0,0.2622032207556976,0.6969671280541979,2.5960649018791435,1.0,1.0,0
143,1,1195.0,1329.0,3.0,1.0,0.05414730906134045,0.7423237971026655,0.7323576262517748,3.0,1.0,0
144,1,1076.0,671.0,2.0,1.0,0.15421466686894816,0.5254928096244688,1.0132001039845802,2.0,1.0,0
145,1,-770.0,1439.0,1.0,1.0,0.05197124217272453,0.6775091551562064,-0.4913269415443854,1.0,1.0,0
146,1,54.0,587.0,3.0,1.0,0.15299459661742587,0.24207968343330333,0.09173499045723774,3.0,1.0,0
147,1,60.0,-70.0,4.0,1.0,0.46407179525199704,0.03439167245119405,2.432966381462123,4.0,1.0,1
148,1,1312.0,918.0,4.0,1.0,0.10185718354497258,0.6646500169006604,0.960275007854586,4.0,1.0,0
149,1,402.0,-697.0,2.0,1.0,0.3835086738273534,0.33193241526582906,2.618438544772846,2.0,1.0,1
150,1,-1121.0,646.0,3.0,1.0,0.15343654340152285,0.5362425007945805,-1.0480072414144943,3.0,1.0,0
151,1,370.0,-772.0,3.0,1.0,0.38332589553327684,0.35342722788655356,2.694662400352466,3.0,1.0,1
152,1,-1327.0,1428.0,4.0,1.0,0.03344290982006176,0.8100395223666683,-0.7487539570727104,4.0,1.0,0
153,1,-1362.0,1464.0,3.0,1.0,0.027582288550903583,0.8310041116323246,-0.7493204062833612,3.0,1.0,0
154,1,-1728.0,-1013.0,4.0,1.0,0.16542107643050066,0.8324454012097694,-2.1010269511301964,4.0,1.0,0
155,1,-1984.0,1018.0,3.0,1.0,0.03290496411279198,0.9272059263754537,-1.0967198941264804,3.0,1.0,0
156,1,240.0,402.0,4.0,1.0,0.21534513290672436,0.1914250129675213,0.5382217016114783,4.0,1.0,0
157,1,1785.0,-625.0,2.0,1.0,0.16197451737276605,0.7857611040072092,1.9075959122446071,2.0,1.0,0
158,1,-631.0,-225.0,2.0,1.0,0.32987188130209094,0.27567354879409606,-1.913318208818181,2.0,1.0,0
159,1,1104.0,1164.0,4.0,1.0,0.08074103825710668,0.6659065164482197,0.7589493060313292,4.0,1.0,0
160,1,738.0,906.0,4.0,1.0,0.132393831224639,0.483920991175679,0.6835618842434299,4.0,1.0,0
161,1,830.0,1387.0,4.0,1.0,0.056508438238151736,0.670958350256799,0.539252392047191,4.0,1.0,0
162,1,1323.0,233.0,3.0,1.0,0.18250691896809282,0.5569350797046856,1.3964691040558523,3.0,1.0,0
163,1,894.0,1207.0,1.0,1.0,0.0845963934035306,0.6232013089160205,0.6375091698520424,1.0,1.0,0
164,1,1409.0,1024.0,1.0,1.0,0.08360116128079455,0.7233401847669905,0.9423377213425266,1.0,1.0,0
165,1,1421.0,871.0,4.0,1.0,0.09927120372476946,0.691975380291457,1.0209101408179937,4.0,1.0,0
166,1,622.0,454.0,2.0,1.0,0.21571778791275045,0.3175007398894821,0.9402815009217848,2.0,1.0,0
167,1,199.0,-1097.0,3.0,1.0,0.37492664995476743,0.4615210131872781,2.9621402769206067,3.0,1.0,1
168,1,-742.0,-1448.0,1.0,1.0,0.27656200004152004,0.6754135616951064,-2.668049820562921,1.0,1.0,0
169,1,1922.0,-1011.0,3.0,1.0,0.13914614322099503,0.9028798688024937,2.0550383460825,3.0,1.0,0
170,1,1278.0,-1356.0,1.0,1.0,0.21581701408093726,0.77410024515511,2.385798595048045,1.0,1.0,0
171,1,-671.0,-381.0,1.0,1.0,0.334406948968058,0.3181514450235117,-2.0872097682100192,1.0,1.0,1
172,1,-1746.0,-1336.0,1.0,1.0,0.15474952826599964,0.914080988716542,-2.2239405136786,1.0,1.0,0
173,1,1491.0,-647.0,1.0,1.0,0.2060372613943418,0.6746972761176374,1.9802122379737943,1.0,1.0,0
174,1,4.0,-9.0,3.0,1.0,0.5066007938703722,0.0,2.723368324010564,3.0,1.0,1
175,1,-667.0,-1105.0,2.0,1.0,0.31419267536736395,0.5349427914764249,-2.5985157054159695,2.0,1.0,0
176,1,-1304.0,311.0,3.0,1.0,0.17673660284431406,0.5557709657359854,-1.336673036057989,3.0,1.0,0
177,1,1305.0,59.0,3.0,1.0,0.20085382770834628,0.5414706417186891,1.5256163648282837,3.0,1.0,0
178,1,-1299.0,1368.0,1.0,1.0,0.04543819982069223,0.7837683633369443,-0.7595321674584015,1.0,1.0,0
179,1,-85.0,819.0,1.0,1.0,0.1230948018493888,0.3397754894635002,-0.10341485853119194,1.0,1.0,0
180,1,-1462.0,-1293.0,2.0,1.0,0.19376411345912867,0.811022310892572,-2.2949282481056508,2.0,1.0,0
181,1,1109.0,-683.0,1.0,1.0,0.26457559916269385,0.539847947394475,2.122803404273936,1.0,1.0,0
182,1,-1589.0,1487.0,3.0,1.0,0.011349029622245047,0.9047899415026378,-0.8185459653651932,3.0,1.0,0
183,1,1145.0,107.0,1.0,1.0,0.21913947803893025,0.4761741486502353,1.477617156622894,1.0,1.0,0
184,1,1111.0,-697.0,2.0,1.0,0.2632589462020098,0.5436441645273223,2.1310928845077775,2.0,1.0,0
185,1,1905.0,-793.0,1.0,1.0,0.14595622624495294,0.857681920020821,1.9652519385855323,1.0,1.0,0
186,1,-1840.0,659.0,2.0,1.0,0.08353600278810033,0.8121543670536374,-1.2268775320269194,2.0,1.0,0
187,1,-1639.0,1360.0,4.0,1.0,0.022859105675247297,0.8853753681325742,-0.8781621715761818,4.0,1.0,0
188,1,-1108.0,298.0,1.0,1.0,0.20205778817819073,0.4750822976357887,-1.3080605450661098,1.0,1.0,0
189,1,1821.0,-403.0,2.0,1.0,0.15322794355439714,0.7748205173143777,1.7885929262777331,2.0,1.0,0
190,1,-122.0,882.0,1.0,1.0,0.11724631191510772,0.3677571506774404,-0.13744981581672477,1.0,1.0,0
191,1,-1213.0,-916.0,4.0,1.0,0.2421879743832686,0.6307110992240023,-2.217586897407735,4.0,1.0,0
192,1,-494.0,183.0,1.0,1.0,0.2792680272135095,0.21590494168427518,-1.2160247465140097,1.0,1.0,0
193,1,1705.0,-935.0,1.0,1.0,0.17275633866293683,0.8080163627364654,2.0724003809840172,1.0,1.0,0
194,1,-1452.0,306.0,4.0,1.0,0.15918696115122513,0.6156279626805085,-1.3630918537987726,4.0,1.0,0
195,1,-1500.0,1353.0,3.0,1.0,0.033874218310836784,0.839551965916842,-0.8368773508569157,3.0,1.0,0
196,1,86.0,-264.0,3.0,1.0,0.478664228472742,0.11184777614581132,2.8266757058028897,3.0,1.0,1
197,1,-1022.0,-53.0,4.0,1.0,0.2490367738748958,0.4232938303459262,-1.6226090121009438,4.0,1.0,0
198,1,1188.0,1303.0,4.0,1.0,0.05732068220765421,0.7323120377053682,0.7392647214862288,4.0,1.0,0
199,1,510.0,166.0,2.0,1.0,0.2811178567730076,0.21988480978680988,1.2561211260284524,2.0,1.0,0
200,1,-62.0,-1496.0,1.0,1.0,0.3385677103339908,0.6212205188778785,-3.100172506784706,1.0,1.0,0
