episode,total_reward,num_steps,num_updates,mean_loss,random_action_count,greedy_action_count,random_action_ratio,invalid_or_no_action_count,done,is_best_episode,epsilon_after_episode,best_reward_so_far,global_env_steps,replay_buffer_size,latest_checkpoint_path,best_checkpoint_path,extra
1,-13.040694417355855,20,0,,20,0,1.0,0,True,True,0.9962,-13.040694417355855,20,20,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\best.pt,
2,-11.499009754554086,20,9,0.1276277903881338,20,0,1.0,0,True,True,0.9924,-11.499009754554086,40,40,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\best.pt,
3,-13.806158568178288,20,20,0.037137423921376464,20,0,1.0,0,True,False,0.9886,-11.499009754554086,60,60,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
4,-12.269529407336089,20,20,0.06263636983931065,20,0,1.0,0,True,False,0.9848,-11.499009754554086,80,80,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
5,-9.197080649471966,20,20,0.06565778190270066,20,0,1.0,0,True,True,0.981,-9.197080649471966,100,100,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\best.pt,
6,-10.735092834466565,20,20,0.08305885214358569,19,1,0.95,0,True,False,0.9772,-9.197080649471966,120,120,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
7,-10.73347804199918,20,20,0.10646973559632897,20,0,1.0,0,True,False,0.9734,-9.197080649471966,140,140,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
8,-10.733127742726788,20,20,0.0629236726090312,20,0,1.0,0,True,False,0.9696,-9.197080649471966,160,160,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
9,-9.195774987634406,20,20,0.06916257254779339,20,0,1.0,0,True,True,0.9658,-9.195774987634406,180,180,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\best.pt,
10,-12.271482863236312,20,20,0.08658647276461125,20,0,1.0,0,True,False,0.962,-9.195774987634406,200,200,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
11,-11.500095511813898,20,20,0.04518994688987732,20,0,1.0,0,True,False,0.9582,-9.195774987634406,220,220,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
12,-9.966645578881064,20,20,0.10551101434975863,20,0,1.0,0,True,False,0.9544,-9.195774987634406,240,240,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
13,-13.042178554807492,20,20,0.13284285888075828,19,1,0.95,0,True,False,0.9506,-9.195774987634406,260,260,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
14,-12.270517449113845,20,20,0.08563691768795252,19,1,0.95,0,True,False,0.9468,-9.195774987634406,280,280,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
15,-10.732526179319045,20,20,0.06780044180341065,19,1,0.95,0,True,False,0.9430000000000001,-9.195774987634406,300,300,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
16,-10.72416486186401,20,20,0.06603829120285809,18,2,0.9,0,True,False,0.9392,-9.195774987634406,320,320,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
17,-13.029978499770989,20,20,0.10134134627878666,20,0,1.0,0,True,False,0.9354,-9.195774987634406,340,340,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
18,-13.039398555702506,20,20,0.08312214612960815,19,1,0.95,0,True,False,0.9316,-9.195774987634406,360,360,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
19,-13.808979662433282,20,20,0.07538795750588179,19,1,0.95,0,True,False,0.9278,-9.195774987634406,380,380,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
