episode,cluster_id,ordered_target_ids,total_path_distance,total_reward,num_steps,num_updates,mean_loss,random_action_count,greedy_action_count,random_action_ratio,invalid_or_no_action_count,done,is_best_episode,epsilon_after_episode,best_reward_so_far,global_env_steps,replay_buffer_size,latest_checkpoint_path,best_checkpoint_path,extra
1,0,"[3, 2, 1, 4]",214.78378878737476,18.239858089155398,4,0,,4,0,1.0,0,True,True,0.9987333333333334,18.239858089155398,4,4,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\best.pt,
2,3,"[13, 15, 14, 16]",121.91912521010097,26.288679406490516,4,0,,4,0,1.0,0,True,True,0.9974666666666666,26.288679406490516,8,8,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\best.pt,
3,3,"[16, 14, 13, 15]",138.62182604125803,23.14538201421629,4,0,,4,0,1.0,0,True,False,0.9962,26.288679406490516,12,12,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
4,2,"[9, 10, 12, 11]",260.3761478678348,16.803658039314836,4,0,,4,0,1.0,0,True,False,0.9949333333333333,26.288679406490516,16,16,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
5,2,"[10, 12, 9, 11]",205.11603076518864,17.944549681546867,4,0,,4,0,1.0,0,True,False,0.9936666666666667,26.288679406490516,20,20,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
6,4,"[18, 20, 19, 17]",229.4537289962148,17.283417073766742,4,0,,4,0,1.0,0,True,False,0.9924,26.288679406490516,24,24,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
7,0,"[1, 3, 4, 2]",181.66116066125574,24.446168855463334,4,0,,4,0,1.0,0,True,False,0.9911333333333333,26.288679406490516,28,28,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
8,3,"[14, 13, 16, 15]",138.67556048203386,22.433400549904924,4,0,,4,0,1.0,0,True,False,0.9898666666666667,26.288679406490516,32,32,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
9,1,"[6, 8, 5, 7]",203.45052054558457,19.70780649378092,4,0,,4,0,1.0,0,True,False,0.9886,26.288679406490516,36,36,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
10,0,"[3, 4, 2, 1]",144.72417449833796,25.999062732197913,4,0,,4,0,1.0,0,True,False,0.9873333333333333,26.288679406490516,40,40,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
