time,event_types,replanning_count,destroyed_target_ids,disappeared_target_ids,damaged_uav_ids,available_target_count,available_uav_count,completed_cluster_count,total_cluster_count,metadata
30.0,[],0,[],[],[],200,41,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {4: [9.713291925743546, -137600.00462880754], 5: [9.745908216281904, -137600.0022927719], 3: [6.554245287904435, -137600.0000781459], 0: [-22.293978967837948, -137600.1787852433], 1: [0.4227356319130946, -137600.00901260163], 2: [23.8940362476765, -137600.05946083256]}, 'uav_status_counts': {'en_route': 32, 'available': 9}}"
60.0,[],0,[],[],[],200,41,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {4: [14.426583851487091, -135200.00925761508], 5: [13.06324500399238, -135200.00458554382], 3: [5.941823909142205, -135200.00015629176], 0: [-51.58795793567589, -135200.35757048664], 1: [-6.154528736173811, -135200.01802520326], 2: [40.788072495353, -135200.11892166513]}, 'uav_status_counts': {'en_route': 32, 'available': 9}}"
90.0,[],0,[],[],[],200,41,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {4: [19.139875777230632, -132800.0138864226], 5: [16.38058179170286, -132800.00687831565], 3: [5.329402530379976, -132800.0002344376], 0: [-80.88193690351383, -132800.53635572997], 1: [-12.731793104260717, -132800.0270378049], 2: [57.682108743029495, -132800.1783824977]}, 'uav_status_counts': {'en_route': 32, 'available': 9}}"
120.0,[],0,[],[],[],200,41,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 1: 'en_route', 2: 'en_route'}, 'cluster_positions': {4: [23.853167702974183, -130400.01851523013], 5: [19.697918579413333, -130400.00917108756], 3: [4.716981151617746, -130400.0003125835], 0: [-110.17591587135178, -130400.71514097329], 1: [-19.30905747234762, -130400.03605040652], 2: [74.576144990706, -130400.23784333025]}, 'uav_status_counts': {'en_route': 32, 'available': 9}}"
150.0,['target_disappeared'],1,[],[3],[],199,41,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [28.56645962871772, -128000.02314403767], 5: [23.01525536712381, -128000.01146385947], 3: [4.104559772855514, -128000.00039072939], 0: [-139.46989483918972, -128000.89392621661], 2: [91.4701812383825, -128000.29730416281], 1: [-25.886321840434526, -128000.04506300815]}, 'uav_status_counts': {'assigned': 31, 'available': 10}}"
180.0,[],1,[],[3],[],199,41,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [31.549116804601923, -125600.02499807486], 5: [27.365829907757952, -125600.01557801616], 3: [5.648791377013132, -125600.00284562889], 0: [-134.2698035084283, -125600.86661790236], 2: [-34.009184383106046, -125600.34308332912], 1: [41.912730135850026, -125600.23614989388]}, 'uav_status_counts': {'en_route': 31, 'available': 10}}"
210.0,['attack_uav_destroyed'],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [34.53177398048612, -123200.02685211206], 5: [31.803474157043468, -123200.01968079891], 3: [3.92875782208618, -123200.00346577157], 0: [-164.9252065535955, -123201.06269437348], 2: [-13.736153676088755, -123200.42888784801], 1: [31.474113392923233, -123200.25907600981]}, 'uav_status_counts': {'assigned': 31, 'available': 9, 'damaged': 1}}"
240.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [37.51443115637032, -120800.02870614929], 5: [36.241118406329, -120800.02378358162], 3: [2.2087242671592295, -120800.0040859143], 0: [-195.5806095987627, -120801.25877084464], 2: [6.536877030928528, -120800.51469236691], 1: [21.035496649996446, -120800.2820021258]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
270.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [40.49708833225453, -118400.03056018648], 5: [40.67876265561451, -118400.02788636438], 3: [0.48869071223227883, -118400.00470605704], 0: [-226.23601264392985, -118401.45484731579], 2: [26.80990773794581, -118400.60049688576], 1: [10.596879907069658, -118400.30492824172]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
300.0,[],2,[],[3],[11],199,40,0,6,"{'destroyed_this_step': [], 'cluster_status': {4: 'en_route', 5: 'en_route', 3: 'en_route', 0: 'en_route', 2: 'en_route', 1: 'en_route'}, 'cluster_positions': {4: [43.47974550813871, -116000.0324142237], 5: [45.11640690490003, -116000.03198914709], 3: [-1.2313428426946718, -116000.00532619974], 0: [-256.891415689097, -116001.65092378692], 2: [47.0829384449631, -116000.68630140464], 1: [0.15826316414287098, -116000.32785435766]}, 'uav_status_counts': {'en_route': 31, 'available': 9, 'damaged': 1}}"
